# NGワード
GAME_NGWORD_FIND,"入力文字に禁止語句が含まれています"
LOCAL_SYSTEM_GVZ_SINGLESIGNON_ENABLE, "0"
LOCAL_SYSTEM_CONTINUE_ENABLE,"1"
LOCAL_SYSTEM_NEWYEAR_ENABLE,"0"

LOCAL_FONTSZ_0, "10"
LOCAL_FONTSZ_1, "12"
LOCAL_FONTSZ_2, "14"
LOCAL_FONTSZ_3, "16"

# local error msg
LOCAL_GVZUSER_ERR_0001, "gvz_err_0001"
LOCAL_GVZUSER_ERR_0002, "gvz_err_0002"
LOCAL_GVZUSER_ERR_0003, "gvz_err_0003"
LOCAL_GVZUSER_ERR_0004, "gvz_err_0004"
LOCAL_GVZUSER_ERR_0005, "gvz_err_0005"
LOCAL_GVZUSER_ERR_0006, "gvz_err_0006"
LOCAL_GVZUSER_ERR_0007, "gvz_err_0007"
LOCAL_GVZUSER_ERR_0008, "%s gvz_err_0008"
LOCAL_GVZUSER_ERR_0009, "gvz_err_0009"
LOCAL_GVZUSER_ERR_0010, "gvz_err_0010"

LOCAL_GVZUSER_ERR_0043, "gvz_err_0043"

LOCAL_GVZUSER_ERR_9999, "gvz_err_9999"
LOCAL_GVZUSER_ERR_9998, "gvz_err_9998"

LOCAL_GVZUSER_ERR_2000, "gvz_err_2000"
LOCAL_GVZUSER_ERR_2001, "gvz_err_2001"
LOCAL_GVZUSER_ERR_2005, "gvz_err_2005"
LOCAL_GVZUSER_ERR_2006, "gvz_err_2006"
LOCAL_GVZUSER_ERR_2009, "gvz_err_2009"
LOCAL_GVZUSER_ERR_2010, "gvz_err_2010"
LOCAL_GVZUSER_ERR_2011, "gvz_err_2011"
LOCAL_GVZUSER_ERR_2012, "gvz_err_2012"
LOCAL_GVZUSER_ERR_2013, "gvz_err_2013"
LOCAL_GVZUSER_ERR_2014, "gvz_err_2014"
LOCAL_GVZUSER_ERR_2015, "gvz_err_2015"
LOCAL_GVZUSER_ERR_2016, "gvz_err_2016"
LOCAL_GVZUSER_ERR_2017, "gvz_err_2017"
LOCAL_GVZUSER_ERR_2018, "gvz_err_2018"
LOCAL_GVZUSER_ERR_2019, "gvz_err_2019"

LOCAL_GVZUSER_ERR_3000, "gvz_err_3000"
LOCAL_GVZUSER_ERR_3001, "gvz_err_3001"
LOCAL_GVZUSER_ERR_3002, "gvz_err_3002"
LOCAL_GVZUSER_ERR_3003, "gvz_err_3003"
LOCAL_GVZUSER_ERR_3004, "gvz_err_3004"
LOCAL_GVZUSER_ERR_3005, "gvz_err_3005"
LOCAL_GVZUSER_ERR_3006, "gvz_err_3006"
LOCAL_GVZUSER_ERR_3007, "gvz_err_3007"
LOCAL_GVZUSER_ERR_3008, "gvz_err_3008"
LOCAL_GVZUSER_ERR_3009, "gvz_err_3009"

LOCAL_TRADE_CANT_CHARGE_ITEM, "課金アイテムは取引出来ません"
LOCAL_GOLEMSHOP_CANT_SALE_CHARGE_ITEM, "課金アイテムは販売できません"
LOCAL_TRADE_CANT_DEM_CHIP, "ＤＥＭ強化チップは取引出来ません"
LOCAL_TRADE_CANT_LOCK_ITEM, "ロックアイテムは取引出来ません"
LOCAL_GOLEMSHOP_CANT_SALE_LOCK_ITEM, "ロックアイテムは販売できません"


# HackShield msg
LOCAL_HSHIELD_UPDATE_ERR_ENVFILE_NOTREAD, "HSUpdate.env読み込み失敗(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_ENVFILE_NOTWRITE, "HSUpdate.env書き込み失敗(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_NETWORK_CONNECT_FAIL, "サーバーへの接続失敗(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_LIB_NOTEDIT_REG, "ネットワークに接続中にエラー発生(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_NOTFINDFILE, "HackShield更新関係のファイルを見つけることに失敗(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_PROTECT_LISTLOAD_FAIL, "HSUpdate.ptを見つけることに失敗(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_HSUPDATE_TIMEOUT, "HackShield更新中にタイムアウト(0x%x)"
LOCAL_HSHIELD_UPDATE_ERR_SOMETHING, "HackShield更新エラー(0x%x)"
LOCAL_HSHIELD_INIT_ERR_NEED_ADMIN_RIGHTS, "実行するには管理者権限が必要(0x0x%x)"
LOCAL_HSHIELD_INIT_ERR_COMPATIBILITY_MODE_RUNNING, "互換モードで実行されている(0x%x)"
LOCAL_HSHIELD_INIT_ERR_INVALID_FILES, "無効なファイル(0x%x)"
LOCAL_HSHIELD_INIT_ERR_INIT_DRV_FAILED, "ドライバ初期化失敗(0x%x)"
LOCAL_HSHIELD_INIT_ERR_DETECT_DEBUGGER, "デバッガ検知(0x%x)"
LOCAL_HSHIELD_INIT_ERR_SOMETHING, "HackShield初期化エラー。ハッキング防止機能に問題が発生(0x%x)"
LOCAL_HSHIELD_START_ERR_SOMETHING, "HackShield開始エラー。ハッキング防止機能に問題が発生(0x%x)"
LOCAL_HSHIELD_DETECT_CANNOT_USE_APP, "次のプログラム及びゲームは同時に実行できません(0x%x)"
LOCAL_HSHIELD_DETECT_ABNORMAL_FUNCTION_CALL, "Game EXE内のコードを外部モジュールから呼出されました(0x%x)"
LOCAL_HSHIELD_DETECT_AUTOMOUSE, "オートマウスと思われる動作が検知されました(0x%x)"
LOCAL_HSHIELD_DETECT_SPDHACK, "スピードハックと思われる動作が検知されました(0x%x)"
LOCAL_HSHIELD_DETECT_KDTRACE, "ゲームに対するデバッグ試行が検知されました(0x%x)"
LOCAL_HSHIELD_DETECT_ABNRML_MEM_ACS, "メモリ変更と思われる動作が検知されました(0x%x)"
LOCAL_HSHIELD_DETECT_SOMETHING, "ハッキング防御機能に異常が発生しました(0x%x)"
LOCAL_HSHIELD_DETECT_GUID_ERROR, "GUIDが不正です"
LOCAL_HSHIELD_DETECT_CRC_ERROR, "CRCが不正です"
LOCAL_HSHIELD_DETECT_HSB_ERROR, "HSBが不正です"
LOCAL_HSHIELD_GUID_ERROR, "GUIDエラー(0x%x)"
LOCAL_HSHIELD_CRC_ERROR,"CRCエラー(0x%x)"
LOCAL_HSHUELD_HSB_ERROR,"HSBエラー(0x%x)"

# nProtect InitErrMsg
LOCAL_NPGAMEMON_ERROR_EXIST,"GameGuardが実行中"
LOCAL_NPGAMEMON_ERROR_GAME_EXIST,"ゲームが重複実行"
LOCAL_NPGAMEMON_ERROR_INIT,"GameGuard初期化失敗"
LOCAL_NPGAMEMON_ERROR_AUTH_GAMEGUARD,"GameGuardファイルがないか改造された"
LOCAL_NPGAMEMON_ERROR_CRYPTOAPI,"ファイルが破損した"
LOCAL_NPGAMEMON_ERROR_EXECUTE,"GameGuard実行に失敗"
LOCAL_NPGAMEMON_ERROR_ILLEGAL_PRG,"不正プログラムを発見"
LOCAL_NPGMUP_ERROR_ABORT,"GameGuardアップデート失敗"
LOCAL_NPGMUP_ERROR_CONNECT,"ウィルス、スパイウェアで失敗"
LOCAL_NPGAMEMON_ERROR_GAMEGUARD,"GameGuard初期化失敗、バージョン古い"
LOCAL_NPGMUP_ERROR_PARAM,"iniファイルが無いか、改造された"
LOCAL_NPGMUP_ERROR_INIT,"npgmup.des初期化失敗"
LOCAL_NPGAME_ERROR_NOT_WINDOWSXP_64,"検証されないWindowsXPx64を実行"
LOCAL_NPGMUP_ERROR_DOWNCFG,"GameGuardのアップデートサーバ接続失敗"
LOCAL_NPGMUP_ERROR_AUTH,"GameGuardのアップデート未完了"
LOCAL_NPGAMEMON_ERROR_NPSCAN,"ウィルス、不正ツール検査モジュールのロード失敗"
LOCAL_NPGAME_ERROR_ETC,"その他"
LOCAL_NPGAME_ERROR,"GameGuardErr %d"
LOCAL_NPGAME_CS_ERROR,"CS認証エラー"

# nProtect CallBackErrMsg
LOCAL_CB_NPGAMEMON_INIT_ERROR,"初期化エラー %d"
LOCAL_CB_NPGAMEMON_SPEEDHACK,"スピードハック検知 %d"
LOCAL_CB_NPGAMEMON_GAMEHACK_KILLED,"不正ツール検知 %d"
LOCAL_CB_NPGAMEMON_GAMEHACK_DETECT,"不正ツール検知 %d"
LOCAL_CB_NPGAMEMON_GAMEHACK_DOUBT,"データ改ざん検知 %d"
