
GAME_ELEMENT_WND_TITLE,"属性値"
GAME_EVENT_NAVIGATION_DIFFICULTY_HIGH,"上級者向け"
GAME_EVENT_NAVIGATION_EVENTINFO_1,"開始"
GAME_EVENT_NAVIGATION_EVENTINFO_2,"進行中"
GAME_EVENT_NAVIGATION_EVENTINFO_3,"褒賞有り"
GAME_EVENT_NAVIGATION_EVENTINFO_4,"完了"
GAME_EVENT_NAVIGATION_CHECK_ON, "イベントナビゲーションを開始しますか？"
GAME_EVENT_NAVIGATION_CHECK_OFF,"イベントナビゲーションを終了しますか？"
GAME_EVENT_NAVIGATION_LIST_EER,"ナビゲーションしたいイベントを選択してください"
GAME_EVENT_NAVIGATION_PERFECT_EER,"すでにこのイベントは完了しています"
GAME_EVENT_NAVIGATION_REASONABLE_EER,"イベント発生条件を満たしていないため$rナビゲーションを開始することができません"
GAME_EVENT_NAVIGATION_CLOSE_ERR,"イベント中のためウィンドウを閉じる事ができません"
GAME_EVENT_NAVIGATION_AUTORUN,"オートランを開始しますか？"

# ナビゲーションウィンドウ
GAME_NAVIGATION_DATA_TITLE, "ナビゲーション情報"
GAME_NAVIGATION_DATA_TARGET_TEXT,"目的"
GAME_NAVIGATION_DATA_EVENT_TEXT,"イベント"
GAME_NAVIGATION_DATA_CLEAR,"イベント終了のためウィンドウを閉じます"
GAME_NAVIGATION_DATA_HELP_ERR,"イベント中のため開けません"
GAME_NAVIGATION_DATA_POP_1,"プリムラカーソル"
GAME_NAVIGATION_DATA_POP_2,"世界マップ"
GAME_NAVIGATION_DATA_POP_3,"イベントマーカー"

# ディメンションウィンドウ
GAME_DIMENSION_TITLE, "ダンジョン残り時間"
GAME_DIMENSION_TIME,"崩壊まで   時間   分"

# 変更アイテムリストウィンドウ
GAME_TRANSLIST_TITTLE, "アイテムを選んで下さい"
GAME_TRANSLIST_SELECT_0, "チェンジする"
GAME_TRANSLIST_SELECT_1, "合体する"
GAME_TRANSLIST_SELECT_2, "やめておく"

# アイテム変更ウィンドウ
GAME_ITEMTRANS_SELSECT, "アイテムチェンジの選択"
GAME_ITEMTRANS_TITTLE, "合体するアイテムを選んで下さい"
GAME_ITEMTRANS_FAONT_MATERIAL, "合体するアイテム"
GAME_ITEMTRANS_ERROR_MATERIAL, "チェンジ中のアイテムは設定出来ません。"
GAME_ITEMTRANS_ERROR_EVENT, "チェンジ出来る状態ではありません。"
GAME_ITEMTRANS_ERROR_NOTBODY, "bodyに持ってない為、チェンジは出来ません。"
GAME_ITEMTRANS_ERROR_ITEMOVER, "アイテム所持数を減らしてから、チェンジをして下さい。"
GAME_ITEMTRANS_ERROR_NOTLIST, "変形できるアイテムがありませんでした。"
GAME_ITEMTRANS_ERROR_FLAG, "条件を満たしていない為、チェンジは出来ません。"
GAME_ITEMTRANS_ERROR_DORMANCY, "休眠中の為、チェンジは出来ません。"
GAME_ITEMTRANS_ERROR_TROUBLE, "故障中の為、チェンジは出来ません。"
GAME_ITEMTRANS_ERROR, "何かしらの原因で失敗しました。"
