# 称号
GAME_CHARATITLE_TITLE,"称号"
GAME_CHARATITLE_PARAM_22,"詠唱速度"

GAME_CHARATITLE_NOTIFY,"称号「%s」を習得しました"
GAME_CHARATITLE_NOTIFY_MANY,"複数の称号を習得しました"
GAME_CHARATITLE_NOTIFY_LOG,"称号「%s」を習得しました"

GAME_CHARATITLESEARCH_TITLE,"称号名検索"
GAME_CHARATITLESEARCH_BATTLE_TAG,"戦闘称号名"
GAME_CHARATITLESEARCH_TAG0,"左の見た目称号名"
GAME_CHARATITLESEARCH_TAG1,"接続詞"
GAME_CHARATITLESEARCH_TAG2,"右の見た目称号名"

GAME_CHARATITLESORT_TITLE,"ソート"
GAME_CHARATITLESORT_LIST0,"レアリティ順"
GAME_CHARATITLESORT_LIST1,"カテゴリ順"
GAME_CHARATITLESORT_LIST2,"称号名順"
GAME_CHARATITLESORT_LIST3,"習得状況順"
GAME_CHARATITLESORT_LIST4,"能力：最大HP順"
GAME_CHARATITLESORT_LIST5,"能力：最大MP順"
GAME_CHARATITLESORT_LIST6,"能力：最大SP順"
GAME_CHARATITLESORT_LIST7,"能力：物理攻撃力・最小（叩き）順"
GAME_CHARATITLESORT_LIST8,"能力：物理攻撃力・最大（叩き）順"
GAME_CHARATITLESORT_LIST9,"能力：物理攻撃力・最小（斬り）順"
GAME_CHARATITLESORT_LIST10,"能力：物理攻撃力・最大（斬り）順"
GAME_CHARATITLESORT_LIST11,"能力：物理攻撃力・最小（突き）順"
GAME_CHARATITLESORT_LIST12,"能力：物理攻撃力・最大（突き）順"
GAME_CHARATITLESORT_LIST13,"能力：魔法攻撃力・最小順"
GAME_CHARATITLESORT_LIST14,"能力：魔法攻撃力・最大順"
GAME_CHARATITLESORT_LIST15,"能力：物理防御力（減算）順"
GAME_CHARATITLESORT_LIST16,"能力：魔法防御力（減算）順"
GAME_CHARATITLESORT_LIST17,"能力：近距離命中力順"
GAME_CHARATITLESORT_LIST18,"能力：遠距離命中力順"
GAME_CHARATITLESORT_LIST19,"能力：魔法命中力順"
GAME_CHARATITLESORT_LIST20,"能力：近距離回避力順"
GAME_CHARATITLESORT_LIST21,"能力：遠距離回避力順"
GAME_CHARATITLESORT_LIST22,"能力：魔法抵抗力順"
GAME_CHARATITLESORT_LIST23,"能力：クリティカル力順"
GAME_CHARATITLESORT_LIST24,"能力：クリティカル回避力順"
GAME_CHARATITLESORT_LIST25,"能力：攻撃速度順"
GAME_CHARATITLESORT_LIST26,"能力：詠唱速度順"

GAME_CHARATITLE_RARE_0,"習得難易度「初期習得済み」"
GAME_CHARATITLE_RARE_1,"習得難易度「すぐ習得可能」"
GAME_CHARATITLE_RARE_2,"習得難易度「簡単」"
GAME_CHARATITLE_RARE_3,"習得難易度「普通」"
GAME_CHARATITLE_RARE_4,"習得難易度「難しい」"
GAME_CHARATITLE_RARE_5,"習得難易度「困難」"

GAME_CHARATITLE_TOOL_1_1,"戦闘称号のセット内容を表示します。"
GAME_CHARATITLE_TOOL_1_2,"見た目称号のセット内容を表示します。"
GAME_CHARATITLE_TOOL_1_3,"各レアリティ毎の習得数を表示します。"

GAME_CHARATITLE_TOOL_2_1,"現在セットしている戦闘称号を表示します。"
GAME_CHARATITLE_TOOL_2_2,"現在セットしている戦闘称号を外します。"
GAME_CHARATITLE_TOOL_2_3,"称号一覧の表示内容を切り替えます。$r「全て」：「基本」と「スペシャル」の称号を表示します。$r「基本」：何時でも習得可能な称号を表示します。$r「スペシャル」：特別な条件下で覚えた称号を表示します。$r「お気に入り」：お気に入り登録した称号を表示します。"
GAME_CHARATITLE_TOOL_2_4,"称号一覧に表示する内容を検索します。$r検索をリセットする場合は、「称号名検索」ウィンドウの$r「リセット」ボタンを押してください。"
GAME_CHARATITLE_TOOL_2_5,"称号内容を指定した条件でソートします。"
GAME_CHARATITLE_TOOL_2_6,"称号の習得数と最大数を表示します。"
GAME_CHARATITLE_TOOL_2_7,"お気に入り登録の状態を表示します。$rお気に入りアイコンをクリックすると、登録状態を切り替えます。"
GAME_CHARATITLE_TOOL_2_8,"入手条件の難易度で称号のレアリティ表示を切り替えています。$r未習得の称号はアイコンが暗くなっています。"
GAME_CHARATITLE_TOOL_2_9,"称号名を表示します。$r未習得の称号は称号名が暗くなっています。$r新しく習得した称号には「Ｎｅｗ」を表示します。$r新しく習得した称号を選択すると「Ｎｅｗ」表示を消します。"
GAME_CHARATITLE_TOOL_2_10,""
GAME_CHARATITLE_TOOL_2_11,"カテゴリやレアリティや習得条件を表示します。"
GAME_CHARATITLE_TOOL_2_12,"戦闘称号にセットした場合のステータスの増減を表示します。$r未習得の称号は「？？？？？」になります。"
GAME_CHARATITLE_TOOL_2_13,"現在選択している称号を戦闘称号としてセットします。"

GAME_CHARATITLE_TOOL_3_1,"現在セットしている見た目称号を表示します。"
GAME_CHARATITLE_TOOL_3_2,"『「戦闘称号」タブのバルーンヘルプ仕様』の③と同じ内容を表示します。"
GAME_CHARATITLE_TOOL_3_3,"称号一覧と接続詞に表示する内容を検索します。$r検索をリセットする場合は、「称号名検索」ウィンドウの$r「リセット」ボタンを押してください。"
GAME_CHARATITLE_TOOL_3_4,"選択中の左の見た目称号を表示します。"
GAME_CHARATITLE_TOOL_3_5,"選択中の左の見た目称号を外します。"
GAME_CHARATITLE_TOOL_3_6,"選択中の接続詞を表示します。"
GAME_CHARATITLE_TOOL_3_7,"選択中の接続詞を外します。"
GAME_CHARATITLE_TOOL_3_8,"選択中の右の見た目称号を表示します。"
GAME_CHARATITLE_TOOL_3_9,"選択中の右の見た目称号を外します。"
GAME_CHARATITLE_TOOL_3_10,"お気に入り登録の状態を表示します。$rお気に入りアイコンをクリックすると、登録状態を切り替えます。"
GAME_CHARATITLE_TOOL_3_11,"入手条件の難易度で称号のレアリティ表示を切り替えています。"
GAME_CHARATITLE_TOOL_3_12,"称号名を表示します。"
GAME_CHARATITLE_TOOL_3_13,""
GAME_CHARATITLE_TOOL_3_14,"接続詞を表示します。"
GAME_CHARATITLE_TOOL_3_15,"現在選択している称号を見た目称号としてセットします。"
