# キャラクタ選択
GAME_CHRSEL_INPUT_DEL_KEY,"削除キーを入力してください"
GAME_CHRMAKE_HAIR_F5,"アンティーク"
GAME_CHRMAKE_HAIR_F6,"ロング"
GAME_CHRMAKE_HAIR_F7,"外巻きヘア"
GAME_CHRMAKE_HAIR_F8,"内巻きヘア"
GAME_CHRMAKE_HAIR_F9,"ナチュラル"
GAME_CHRMAKE_HAIR_REFINE_F0,"リファインナチュラル"
GAME_CHRMAKE_HAIR_REFINE_F1,"リファインアンティーク"
GAME_CHRMAKE_HAIR_REFINE_F2,"リファインレイヤー"
GAME_CHRMAKE_HAIR_REFINE_F3,"リファインショート"
GAME_CHRMAKE_HAIR_REFINE_F4,"リファイン外巻きヘア"
GAME_CHRMAKE_HAIR_REFINE_F5,"リファイン内巻きヘア"
GAME_CHRMAKE_HAIR_REFINE_F6,"リファインセミロング"
GAME_CHRMAKE_HAIR_REFINE_F7,"リファインロング"
GAME_CHRMAKE_HAIR_REFINE_F8,"リファインベリーショート"

GAME_CHRMAKE_HAIRCL_01,"チェリーレッド"
GAME_CHRMAKE_HAIRCL_02,"ジェードパープル"
GAME_CHRMAKE_HAIRCL_03,"ブルー"
GAME_CHRMAKE_HAIRCL_04,"アイスブルー"
GAME_CHRMAKE_HAIRCL_05,"グリーン"
GAME_CHRMAKE_HAIRCL_06,"ライトグリーン"
GAME_CHRMAKE_HAIRCL_07,"キャンディーイエロー"
GAME_CHRMAKE_HAIRCL_08,"オレンジ"
GAME_CHRMAKE_HAIRCL_09,"マットブラック"
GAME_CHRMAKE_HAIRCL_10,"ダルグレー"
GAME_CHRMAKE_HAIRCL_11,"シルバー"
GAME_CHRMAKE_HAIRCL_12,"モイストシルバー"
GAME_CHRMAKE_HAIRCL_18,"オータム"
GAME_CHRMAKE_HAIRCL_19,"ウィンター"
GAME_CHRMAKE_HAIRCL_20,"スプリング"
GAME_CHRMAKE_HAIRCL_21,"サマー"
GAME_CHRMAKE_HAIRCL_22,"ペールゴールド"
GAME_CHRMAKE_HAIRCL_23,"メタリックピンク"
GAME_CHRMAKE_HAIRCL_24,"モスグリーン"
GAME_CHRMAKE_HAIRCL_25,"バイオレット"
GAME_CHRMAKE_HAIRCL_26,"エメラルドグリーン"
GAME_CHRMAKE_HAIRCL_27,"アッシュブラウン"
GAME_CHRMAKE_HAIRCL_28,"リリーホワイト"
GAME_CHRMAKE_HAIRCL_29,"ミルクティー"
GAME_CHRMAKE_HAIRCL_30,"アンティークパープル"

GAME_CHRMAKE_HAIRCL_50,"ハニーベージュ"
GAME_CHRMAKE_HAIRCL_51,"ココアブラウン"
GAME_CHRMAKE_HAIRCL_52,"ビターブラウン"
GAME_CHRMAKE_HAIRCL_60,"ホワイトゴールド"
GAME_CHRMAKE_HAIRCL_61,"プラチナブロンド"
GAME_CHRMAKE_HAIRCL_62,"シャンパンゴールド"
GAME_CHRMAKE_HAIRCL_70M,"アクアブルー"
GAME_CHRMAKE_HAIRCL_71M,"オーシャン"
GAME_CHRMAKE_HAIRCL_72M,"ウルトラマリン"
GAME_CHRMAKE_HAIRCL_70F,"ローズ"
GAME_CHRMAKE_HAIRCL_71F,"ワインレッド"
GAME_CHRMAKE_HAIRCL_72F,"ダークチェリー"

GAME_CHRMAKE_HAIRCL_80,"セラミックホワイト"
GAME_CHRMAKE_HAIRCL_81,"ダークブルー"
GAME_CHRMAKE_HAIRCL_82,"ライトバイオレット"

GAME_CHRMAKE_HUMAN_COMMENT_0,"この世界で、最も「生命力」に満ちた種族。"
GAME_CHRMAKE_HUMAN_COMMENT_1,"茶系の髪に、茶系の目が目印。"
GAME_CHRMAKE_HUMAN_COMMENT_2,"他の種族と比べ、初期ＶＩＴが高く"
GAME_CHRMAKE_HUMAN_COMMENT_3,"ファイター系の職業に向いている。"
GAME_CHRMAKE_HUMAN_COMMENT_4,"また、装備品の制限をほとんど受けず"
GAME_CHRMAKE_HUMAN_COMMENT_5,"さまざまなものを装備できるため"
GAME_CHRMAKE_HUMAN_COMMENT_6,"バックパッカー系の職業にも向いている。"
GAME_CHRMAKE_HUMAN_COMMENT_7,"育てやすく、初心者向けの種族。"
GAME_CHRMAKE_HUMAN_COMMENT_8,""

GAME_CHRMAKE_ANGEL_COMMENT_0,"この世界で、最も「魔力」にあふれた種族。"
GAME_CHRMAKE_ANGEL_COMMENT_1,"頭上にかがやく輪っかと"
GAME_CHRMAKE_ANGEL_COMMENT_2,"白く美しい二枚の羽根が目印。"
GAME_CHRMAKE_ANGEL_COMMENT_3,"他の種族と比べ、初期ＭＡＧとＩＮＴが高く"
GAME_CHRMAKE_ANGEL_COMMENT_4,"遠距離攻撃や支援系スキルを得意とする"
GAME_CHRMAKE_ANGEL_COMMENT_5,"スペルユーザー系の職業に向いている。"
GAME_CHRMAKE_ANGEL_COMMENT_6,"人との協力プレイを楽しみたい"
GAME_CHRMAKE_ANGEL_COMMENT_7,"中級者向けの種族。"
GAME_CHRMAKE_ANGEL_COMMENT_8,""

GAME_CHRMAKE_DEVIL_COMMENT_0,"この世界で、最も「攻撃力」に恵まれた種族。"
GAME_CHRMAKE_DEVIL_COMMENT_1,"濡れたような黒い羽根と"
GAME_CHRMAKE_DEVIL_COMMENT_2,"突き刺すようなしっぽが目印。"
GAME_CHRMAKE_DEVIL_COMMENT_3,"他の種族と比べ、ＳＴＲとＭＡＧが高く"
GAME_CHRMAKE_DEVIL_COMMENT_4,"ファイター系、スペルユーザー系の"
GAME_CHRMAKE_DEVIL_COMMENT_5,"どちらにも向いている。"
GAME_CHRMAKE_DEVIL_COMMENT_6,"ただし、ＶＩＴが低く打たれ弱いので"
GAME_CHRMAKE_DEVIL_COMMENT_7,"高価な防具を買い与えるなどの工夫が必要。"
GAME_CHRMAKE_DEVIL_COMMENT_8,"オールマイティを目指す、上級者向けの種族。"

GAME_CHRMAKE_DEM_COMMENT_0,"鋼鉄の体を持つ機械種族。"
GAME_CHRMAKE_DEM_COMMENT_1,"ほほに付いている金属製のバーと"
GAME_CHRMAKE_DEM_COMMENT_2,"「フォームチェンジ」という"
GAME_CHRMAKE_DEM_COMMENT_3,"機能を持っているのが特徴。"
GAME_CHRMAKE_DEM_COMMENT_4,"独自の成長ルールを持ち、"
GAME_CHRMAKE_DEM_COMMENT_5,"あらゆる場面において性能を発揮できる"
GAME_CHRMAKE_DEM_COMMENT_6,"上級者向けの種族。"
GAME_CHRMAKE_DEM_COMMENT_7,"ちなみに「ＤＥＭ」とは、"
GAME_CHRMAKE_DEM_COMMENT_8,"Ｄｅｕｓ Ｅｘ Ｍａｃｈｉｎａの略。"
