
#職業別チャットポップアップメッセージ
GAME_JOBCHAT_POPUPMENU_0,"NV"
GAME_SHORTCUTTOOL_BALLOON_9,"ECO(課金)ショップウィンドウを表示します"
GAME_SHORTCUTTOOL_BALLOON_10,"マクロウィンドウを表示します$r/ui_macro"
GAME_SHORTCUTTOOL_BALLOON_11,"システムウィンドウを表示させます$r/ui_system"
GAME_SHORTCUTTOOL_BALLOON_12,"ヘルプを表示させます$r/help"
GAME_SHORTCUTTOOL_BALLOON_13,"パートナー装備していれば$rかんたんAI設定ウィンドウを表示させます"
GAME_SHORTCUTTOOL_BALLOON_14,"旅人のメモウィンドウを表示させます"
GAME_SHORTCUTTOOL_ERR_13,"パートナーを装備していない為、ウィンドウは開けませんでした"
GAME_SHORTCUTTOOL_ERR_14,"パートナーではない為、ウィンドウは開けませんでした"
GAME_SHORTCUTTOOL_ERR_15,"ライドパートナーの為、ウィンドウは開けませんでした"
GAME_SHORTCUTTOOL_RESTRICT,"0"

# ショートカットメニュー

GAME_SHORTCUTMENU_POPUPMENU_0, "ステータス        "
GAME_SHORTCUTMENU_POPUPMENU_1, "スキル            "
GAME_SHORTCUTMENU_POPUPMENU_2, "アイテム          "
GAME_SHORTCUTMENU_POPUPMENU_3, "装備              "
GAME_SHORTCUTMENU_POPUPMENU_4, "フレンド          "
GAME_SHORTCUTMENU_POPUPMENU_5, "クエスト          "
GAME_SHORTCUTMENU_POPUPMENU_6, "メールギフト      "
GAME_SHORTCUTMENU_POPUPMENU_7, "募集コメントリスト"
GAME_SHORTCUTMENU_POPUPMENU_8, "イベントナビ      "
GAME_SHORTCUTMENU_POPUPMENU_9, "ECOショップ       "
GAME_SHORTCUTMENU_POPUPMENU_10,"マクロ                "
GAME_SHORTCUTMENU_POPUPMENU_11,"システムオプション    "
GAME_SHORTCUTMENU_POPUPMENU_12,"ヘルプ                "
GAME_SHORTCUTMENU_POPUPMENU_13,"                  "
GAME_SHORTCUTMENU_POPUPMENU_14,"旅人のメモ        "
GAME_SHORTCUTMENU_POPUPMENU_15,"毎日スタンプ帳      "
GAME_SHORTCUTMENU_POPUPMENU_16,"露店設定          "
GAME_SHORTCUTMENU_POPUPMENU_17,"パーティー        "
GAME_SHORTCUTMENU_POPUPMENU_18,"リング            "
GAME_SHORTCUTMENU_POPUPMENU_19,"ブロック          "
GAME_SHORTCUTMENU_POPUPMENU_20,"師弟              "
GAME_SHORTCUTMENU_POPUPMENU_21,"チーム（奈落）    "
GAME_SHORTCUTMENU_POPUPMENU_22,"ミッション        "
GAME_SHORTCUTMENU_POPUPMENU_23,"オートラン        "
GAME_SHORTCUTMENU_POPUPMENU_24,"ミニマップ        "
GAME_SHORTCUTMENU_POPUPMENU_25,"ワールドマップ    "
GAME_SHORTCUTMENU_POPUPMENU_26,"自分に憑依        "
GAME_SHORTCUTMENU_POPUPMENU_27,"憑依解除          "
GAME_SHORTCUTMENU_POPUPMENU_28,"憑依を外す        "
GAME_SHORTCUTMENU_POPUPMENU_29,"憑依カタログ      "
GAME_SHORTCUTMENU_POPUPMENU_30,"たまいれ解除      "
GAME_SHORTCUTMENU_POPUPMENU_31,"ECOドリーム       "
GAME_SHORTCUTMENU_POPUPMENU_32,"リサイクルゲージ  "
GAME_SHORTCUTMENU_POPUPMENU_33,"軍勢力ゲージ      "
GAME_SHORTCUTMENU_POPUPMENU_34,"キャラクターオプション"
GAME_SHORTCUTMENU_POPUPMENU_35,"ログアウト        "
GAME_SHORTCUTMENU_POPUPMENU_36,"フォームチェンジ  "
GAME_SHORTCUTMENU_POPUPMENU_37,"パートナーステータス表示    "
GAME_SHORTCUTMENU_POPUPMENU_38,"かんたんAI設定ウィンドウ表示"
GAME_SHORTCUTMENU_POPUPMENU_39,"AIカスタムウィンドウ表示    "
GAME_SHORTCUTMENU_POPUPMENU_40,"モンスタースタンプ帳"
GAME_SHORTCUTMENU_POPUPMENU_41,"プロテクトルーム  "
GAME_SHORTCUTMENU_POPUPMENU_42,"特典              "
GAME_SHORTCUTMENU_POPUPMENU_43,"NCポイント交換    "
GAME_SHORTCUTMENU_POPUPMENU_44,"アナザーブック"
GAME_SHORTCUTMENU_POPUPMENU_45,"状態表示設定"
GAME_SHORTCUTMENU_POPUPMENU_46,"まいにちダンジョン"
GAME_SHORTCUTMENU_POPUPMENU_47,"称号　　　　　　　"

GAME_SHORTCUTMENU_SUBMENU_0,"世界状況        "
GAME_SHORTCUTMENU_SUBMENU_1,"オプション      "
GAME_SHORTCUTMENU_SUBMENU_2,"パートナー      "
