# システムメッセージ(スキル)
GAME_SMSG_SKILL_USEERR1,"MPとSPが不足しています"
GAME_SMSG_SKILL_USEERR58,"融合できるマリオネットが違います"
GAME_SMSG_SKILL_USEERR59,"イベント中の為、使用できません"
GAME_SMSG_SKILL_USEERR60,"設定が不許可になっている為、使用できません"
GAME_SMSG_SKILL_USEERR61,"消費アイテムを装備していないと使用できません"
GAME_SMSG_SKILL_USEERR62,"EPが不足しています"
GAME_SMSG_SKILL_USEERR63,"H.E.ART レベルの上限を超えています"
GAME_SMSG_SKILL_USEERR64,"H.E.ART レベルが足りません"
GAME_SMSG_SKILL_USEERR65,"使用できるログハウスを所持していません"
GAME_SMSG_SKILL_USEERR66,"分解できるものがありません"
GAME_SMSG_SKILL_USEERR67,"エンシェントアークでは使用することができません"
GAME_SMSG_SKILL_USEERR68,"餌を装備していないと使用できません"
GAME_SMSG_SKILL_USEERR69,"キャラクター出撃地点には設置できません"
GAME_SMSG_SKILL_USEERR70,"シンボル出現付近には設置できません"
GAME_SMSG_SKILL_USEERR71,"これ以上のアイテムを設置することは出来ません"
GAME_SMSG_SKILL_USEERR72,"パートナーチェンジをしてから30秒経過していないため使用できません"
GAME_SMSG_SKILL_USEERR73,"パートナープロテクト中は使用することができません"
GAME_SMSG_SKILL_USEERR74,"PPが不足しています"
GAME_SMSG_SKILL_USEERR75,"都市攻防戦では使用することができません"

# システムメッセージ(習得)
GAME_SMSG_SKLEARN_USEERR1,"スキルが存在しません"
GAME_SMSG_SKLEARN_USEERR2,"スキルポイントが足りません"
GAME_SMSG_SKLEARN_USEERR3,"スキル習得条件を満たしていません"
GAME_SMSG_SKLEARN_USEERR4,"スキルを覚えていません"
GAME_SMSG_SKLEARN_USEERR5,"スキルレベル上限を超えています"
GAME_SMSG_SKLEARN_USEERR6,"スキルが忘れられない状態です"
GAME_SMSG_SKLEARN_USEERR100,"何らかの原因でスキルを操作出来ませんでした"
