#リリースアビリティ
GAME_RELEASE_ABILITY_HP_MAX_UP,	"HP最大値＋上昇"
GAME_RELEASE_ABILITY_BDAMAGE_DOWN,	"被物理ダメージ％減少"
GAME_RELEASE_ABILITY_MDAMAGE_DOWN,	"被魔法ダメージ％減少"
GAME_RELEASE_ABILITY_ELMDMG_PER_DWON,	"被属性攻撃ダメージ％減少"
GAME_RELEASE_ABILITY_PT_DAMUP,	"PT参加中攻撃ダメージ％上昇"
GAME_RELEASE_ABILITY_PT_DAMDOWN,	"PT参加中被攻撃ダメージ％減少"
GAME_RELEASE_ABILITY_HELL_DAMUP,	"奈落で攻撃ダメージ％上昇"
GAME_RELEASE_ABILITY_HELL_DAMDOWN,	"奈落で被攻撃ダメージ％減少"
GAME_RELEASE_ABILITY_CRITICAL_UP,	"クリティカル％上昇"
GAME_RELEASE_ABILITY_CRIAVOID_UP,	"クリティカル回避％上昇"
GAME_RELEASE_ABILITY_GUARD_UP,	"ガード率％上昇"
GAME_RELEASE_ABILITY_PAYLOAD_FIX_UP,	"最大重量＋上昇"
GAME_RELEASE_ABILITY_PAYLOAD_UP,	"最大重量％上昇"
GAME_RELEASE_ABILITY_CAPACITY_FIX_UP,	"最大容量＋上昇"
GAME_RELEASE_ABILITY_CAPACITY_UP,	"最大容量％上昇"
GAME_RELEASE_ABILITY_DEAD_REVIVE,	"死亡時自動復活％"
GAME_RELEASE_ABILITY_LV_DIFF_DOWN,	"Lv差命中減少％軽減"
GAME_RELEASE_ABILITY_REGI_POISON_UP,	"毒耐性力上昇"
GAME_RELEASE_ABILITY_REGI_STONE_UP,	"石化耐性力上昇"
GAME_RELEASE_ABILITY_REGI_SLEEP_UP,	"睡眠耐性力上昇"
GAME_RELEASE_ABILITY_REGI_SILENCE_UP,	"沈黙耐性力上昇"
GAME_RELEASE_ABILITY_REGI_SLOW_UP,	"鈍足化耐性力上昇"
GAME_RELEASE_ABILITY_REGI_CONFUSION_UP,	"混乱耐性力上昇"
GAME_RELEASE_ABILITY_REGI_ICE_UP,	"氷化耐性力上昇"
GAME_RELEASE_ABILITY_REGI_STUN_UP,	"気絶耐性力上昇"
GAME_RELEASE_ABILITY_CAN_BTPDOWN_PER,	"能力低下無効化率上昇"
GAME_RELEASE_ABILITY_P_CSPD_PER_DOWN,	"物理スキル詠唱速度減少"
GAME_RELEASE_ABILITY_P_CSPD_PER_UP,	"物理スキル詠唱速度上昇"
GAME_RELEASE_ABILITY_M_CSPD_PER_DOWN,	"魔法スキル詠唱速度減少"
GAME_RELEASE_ABILITY_M_CSPD_PER_UP,	"魔法スキル詠唱速度上昇"
GAME_RELEASE_ABILITY_LV_DIFF_UP,	"Lv差回避％上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM0,	"パートナー近接攻撃＋上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM1,	"パートナー魔法攻撃＋上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM2,	"パートナー耐久力＋上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM3,	"パートナー精神力＋上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM4,	"パートナー攻撃精度＋上昇"
GAME_RELEASE_ABILITY_PART_R_STPARAM5,	"パートナーフットワーク＋上昇"
GAME_RELEASE_ABILITY_PART_R_HPHEAL_UP,	"パートナーHP回復率％上昇"
GAME_RELEASE_ABILITY_PART_R_HPMAX_FIX_UP,	"パートナーHP最大値＋上昇"
GAME_RELEASE_ABILITY_PART_R_HPMAX_UP,	"パートナーHP最大値％上昇"
GAME_RELEASE_ABILITY_PART_MPHEAL_FIX_UP,	"パートナーMP回復率＋上昇"
GAME_RELEASE_ABILITY_PART_MPMAX_FIX_UP,	"パートナー最大MP＋上昇"
GAME_RELEASE_ABILITY_PART_MPMAX_UP,	"パートナー最大MP％上昇"
GAME_RELEASE_ABILITY_PART_SPHEAL_FIX_UP,	"パートナーSP回復率＋上昇"
GAME_RELEASE_ABILITY_PART_SPMAX_FIX_UP,	"パートナー最大SP＋上昇"
GAME_RELEASE_ABILITY_PART_SPMAX_UP,	"パートナー最大SP％上昇"
GAME_RELEASE_ABILITY_PART_ATK_FIX_UP,	"パートナーATK＋上昇"
GAME_RELEASE_ABILITY_PART_ATK_PER_UP,	"パートナーATK％上昇"
GAME_RELEASE_ABILITY_PART_MATK_FIX_UP,	"パートナーM.ATK＋上昇"
GAME_RELEASE_ABILITY_PART_MATK_PER_UP,	"パートナーM.ATK％上昇"
GAME_RELEASE_ABILITY_PART_SHIT_FIX_UP,	"パートナーS.HIT＋上昇"
GAME_RELEASE_ABILITY_PART_SHIT_PER_UP,	"パートナーS.HIT％上昇"
GAME_RELEASE_ABILITY_PART_LHIT_FIX_UP,	"パートナーL.HIT＋上昇"
GAME_RELEASE_ABILITY_PART_LHIT_PER_UP,	"パートナーL.HIT％上昇"
GAME_RELEASE_ABILITY_PART_SAVOID_FIX_UP,	"パートナーS.AVOID＋上昇"
GAME_RELEASE_ABILITY_PART_SAVOID_PER_UP,	"パートナーS.AVOID％上昇"
GAME_RELEASE_ABILITY_PART_LAVOID_FIX_UP,	"パートナーL.AVOID＋上昇"
GAME_RELEASE_ABILITY_PART_LAVOID_PER_UP,	"パートナーL.AVOID％上昇"
GAME_RELEASE_ABILITY_PART_DEF_MINUS_FIX_UP,	"パートナーDEF(-)＋上昇"
GAME_RELEASE_ABILITY_PART_DEF_PER_FIX_UP,	"パートナーDEF(％)＋上昇"
GAME_RELEASE_ABILITY_PART_MDEF_MINUS_FIX_UP,	"パートナーM.DEF(-)＋上昇"
GAME_RELEASE_ABILITY_PART_MDEF_PER_FIX_UP,	"パートナーM.DEF(％)＋上昇"
GAME_RELEASE_ABILITY_PART_MOVESPEED_UP,	"装備パートナー移動速度＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_NONE,	"パートナー攻撃無属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_FIRE,	"パートナー攻撃火属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_WATER,	"パートナー攻撃水属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_WIND,	"パートナー攻撃風属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_EARTH,	"パートナー攻撃土属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_LIGHT,	"パートナー攻撃光属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_ATKELEM_DARK,	"パートナー攻撃闇属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_NONE,	"パートナー防御無属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_FIRE,	"パートナー防御火属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_WATER,	"パートナー防御水属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_WIND,	"パートナー防御風属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_EARTH,	"パートナー防御土属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_LIGHT,	"パートナー防御光属性＋上昇"
GAME_RELEASE_ABILITY_PART_R_DEFELEM_DARK,	"パートナー防御闇属性＋上昇"
GAME_RELEASE_ABILITY_PART_EXP_UP,	"パートナー用獲得経験値上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_UP,	"獲得パートナー信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_HUMAN,	"人間系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_BIRD,	"鳥系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_ANIMAL,	"動物系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_INSECT,	"昆虫系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_MAGIC_CREATURE,	"魔法生物系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_PLANT,	"植物系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_WATER_ANIMAL,	"水中生物系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_MACHINE,	"機械系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_ROCK,	"岩系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_ELEMENT,	"精霊系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_RELIANCE_UNDEAD,	"死霊系獲得U.P信頼度上昇"
GAME_RELEASE_ABILITY_PART_FOODTIME_PER,	"次回食事時間％短縮"
GAME_RELEASE_ABILITY_PART_DEATHPENA_TIME_FIX,	"負傷時間短縮（分）"
GAME_RELEASE_ABILITY_PP_RELIANCE_UP,	"ＰＰの獲得信頼度％上昇"
GAME_RELEASE_ABILITY_PP_PARTNER_POINT_UP,	"獲得ﾊﾟｰﾄﾅｰﾎﾟｲﾝﾄ％上昇"
GAME_RELEASE_ABILITY_PP_POINT_UP,	"ＰＰの個人貢献度％上昇"
GAME_RELEASE_ABILITY_PP_PENA_TIME_DOWN,	"ＰＰ内戦闘不能復帰時間短縮"
GAME_RELEASE_ABILITY_PP_WAVE_HP_REC,	"ﾓﾝｽﾀｰ襲来時HP回復(%)"
GAME_RELEASE_ABILITY_ELEMENT_ADD_DARK,	"攻撃属性値+X上昇（闇）"
GAME_RELEASE_ABILITY_ELEMENT_ADD_LIGHT,	"攻撃属性値+X上昇（光）"
GAME_RELEASE_ABILITY_ELEMENT_ADD_FIRE,	"攻撃属性値+X上昇（火）"
GAME_RELEASE_ABILITY_ELEMENT_ADD_WATER,	"攻撃属性値+X上昇（水）"
GAME_RELEASE_ABILITY_ELEMENT_ADD_EARTH,	"攻撃属性値+X上昇（土）"
GAME_RELEASE_ABILITY_ELEMENT_ADD_WIND,	"攻撃属性値+X上昇（風）"
GAME_RELEASE_ABILITY_DUR_DAMAGE_DOWN,	"耐久度減少確率減少"
GAME_RELEASE_ABILITY_CHGSTATE_RATE_UP,	"状態異常成功率上昇"
GAME_RELEASE_ABILITY_FOOD_UP,	"食べ物系アイテム効果上昇"
GAME_RELEASE_ABILITY_POTION_UP,	"ポーション系アイテム効果上昇"
GAME_RELEASE_ABILITY_DAMUP_HUMAN,	"人間系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_BIRD,	"鳥系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_ANIMAL,	"動物系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_INSECT,	"昆虫系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_MAGIC_CREATURE,	"魔法生物系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_PLANT,	"植物系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_WATER_ANIMAL,	"水中生物系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_MACHINE,	"機械系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_ROCK,	"岩系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_ELEMENT,	"精霊系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMUP_UNDEAD,	"死霊系攻撃ダメージ上昇"
GAME_RELEASE_ABILITY_DAMDOWN_HUMAN,	"人間系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_BIRD,	"鳥系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_ANIMAL,	"動物系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_INSECT,	"昆虫系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_MAGIC_CREATURE,	"魔法生物系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_PLANT,	"植物系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_WATER_ANIMAL,	"水中生物系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_MACHINE,	"機械系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_ROCK,	"岩系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_ELEMENT,	"精霊系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_DAMDOWN_UNDEAD,	"死霊系被攻撃ダメージ減少"
GAME_RELEASE_ABILITY_EXP_HUMAN,	"人間系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_BIRD,	"鳥系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_ANIMAL,	"動物系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_INSECT,	"昆虫系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_MAGIC_CREATURE,	"魔法生物系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_PLANT,	"植物系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_WATER_ANIMAL,	"水中生物系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_MACHINE,	"機械系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_ROCK,	"岩系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_ELEMENT,	"精霊系基本経験値上昇"
GAME_RELEASE_ABILITY_EXP_UNDEAD,	"死霊系基本経験値上昇"
GAME_RELEASE_ABILITY_JEXP_HUMAN,	"人間系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_BIRD,	"鳥系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_ANIMAL,	"動物系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_INSECT,	"昆虫系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_MAGIC_CREATURE,	"魔法生物系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_PLANT,	"植物系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_WATER_ANIMAL,	"水中生物系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_MACHINE,	"機械系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_ROCK,	"岩系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_ELEMENT,	"精霊系職業経験値上昇"
GAME_RELEASE_ABILITY_JEXP_UNDEAD,	"死霊系職業経験値上昇"
GAME_RELEASE_ABILITY_HIT_HUMAN,	"人間系命中上昇"
GAME_RELEASE_ABILITY_HIT_BIRD,	"鳥系命中上昇"
GAME_RELEASE_ABILITY_HIT_ANIMAL,	"動物系命中上昇"
GAME_RELEASE_ABILITY_HIT_INSECT,	"昆虫系命中上昇"
GAME_RELEASE_ABILITY_HIT_MAGIC_CREATURE,	"魔法生物系命中上昇"
GAME_RELEASE_ABILITY_HIT_PLANT,	"植物系命中上昇"
GAME_RELEASE_ABILITY_HIT_WATER_ANIMAL,	"水中生物系命中上昇"
GAME_RELEASE_ABILITY_HIT_MACHINE,	"機械系命中上昇"
GAME_RELEASE_ABILITY_HIT_ROCK,	"岩系命中上昇"
GAME_RELEASE_ABILITY_HIT_ELEMENT,	"精霊系命中上昇"
GAME_RELEASE_ABILITY_HIT_UNDEAD,	"死霊系命中上昇"
GAME_RELEASE_ABILITY_AVOID_HUMAN,	"人間系回避上昇"
GAME_RELEASE_ABILITY_AVOID_BIRD,	"鳥系回避上昇"
GAME_RELEASE_ABILITY_AVOID_ANIMAL,	"動物系回避上昇"
GAME_RELEASE_ABILITY_AVOID_INSECT,	"昆虫系回避上昇"
GAME_RELEASE_ABILITY_AVOID_MAGIC_CREATURE,	"魔法生物系回避上昇"
GAME_RELEASE_ABILITY_AVOID_PLANT,	"植物系回避上昇"
GAME_RELEASE_ABILITY_AVOID_WATER_ANIMAL,	"水中生物系回避上昇"
GAME_RELEASE_ABILITY_AVOID_MACHINE,	"機械系回避上昇"
GAME_RELEASE_ABILITY_AVOID_ROCK,	"岩系回避上昇"
GAME_RELEASE_ABILITY_AVOID_ELEMENT,	"精霊系回避上昇"
GAME_RELEASE_ABILITY_AVOID_UNDEAD,	"死霊系回避上昇"
GAME_RELEASE_ABILITY_CRITICAL_HUMAN,	"人間系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_BIRD,	"鳥系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_ANIMAL,	"動物系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_INSECT,	"昆虫系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_MAGIC_CREATURE,	"魔法生物系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_PLANT,	"植物系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_WATER_ANIMAL,	"水中生物系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_MACHINE,	"機械系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_ROCK,	"岩系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_ELEMENT,	"精霊系クリティカル率上昇"
GAME_RELEASE_ABILITY_CRITICAL_UNDEAD,	"死霊系クリティカル率上昇"
GAME_RELEASE_ABILITY_MARIO_TIME_UP,	"マリオネット使用時間延長"
GAME_RELEASE_ABILITY_MARIO_REUSE_TIME_CUT,	"マリオネット再使用時間短縮"
GAME_RELEASE_ABILITY_A_TRANS_TIME_UP,	"ｱﾅｻﾞｰﾌﾞｯｸ効果時間延長(分)"
GAME_RELEASE_ABILITY_A_TRANS_TIME_CUT,	"ｱﾅｻﾞｰﾌﾞｯｸ再使用時間短縮"
GAME_RELEASE_ABILITY_SELLRATE_UP,	"売却価格上昇"
GAME_RELEASE_ABILITY_BUYRATE_DOWN,	"購入価格減少"
GAME_RELEASE_ABILITY_BOOST_POWER,	"力強化成功確率％上昇"
GAME_RELEASE_ABILITY_BOOST_MAGIC,	"魔力強化成功確率％上昇"
GAME_RELEASE_ABILITY_BOOST_HP,	"命強化成功確率％上昇"
GAME_RELEASE_ABILITY_BOOST_CRITICAL,	"ｸﾘﾃｨｶﾙ強化成功確率％上昇"
GAME_RELEASE_ABILITY_SLOT_ENCHANT,	"スロット拡張成功確率％上昇"
GAME_RELEASE_ABILITY_CARD_ASSEMBLY,	"ｶｰﾄﾞｱｾﾝﾌﾞﾙ成功確率％上昇"
GAME_RELEASE_ABILITY_EXPANSION_POINT_FIX_UP,	"獲得エクスパンションＰ＋上昇"
GAME_RELEASE_ABILITY_SECT_POINT_PER_UP,	"獲得セクトＰ％上昇"
GAME_RELEASE_ABILITY_MATERIAL_POINT_PER_UP,	"獲得マテリアルＰ％上昇"
GAME_RELEASE_ABILITY_FISH_RARE_RATE_FIX_UP,	"釣りレア確率＋上昇"
GAME_RELEASE_ABILITY_FISH_BIG_RATE_FIX_UP,	"釣り大物確率＋上昇"
GAME_RELEASE_ABILITY_SEED_GROWTH_FIX_UP,	"作物成長度＋上昇"
GAME_RELEASE_ABILITY_SEED_AFFECTION_FIX_UP,	"作物愛情度＋上昇"
GAME_RELEASE_ABILITY_TRANCE_SPEED_UP,	"憑依速度上昇"
GAME_RELEASE_ABILITY_TRANS_DAMAGE_NOCHG_UP,	"憑依者貫通率軽減"
GAME_RELEASE_ABILITY_RECYCLE_WOLRDPOINT_UP,	"ワールドゲージＰ＋％上昇"
GAME_RELEASE_ABILITY_QUEST_EP_UP,	"クエスト報酬ＥＰ＋上昇"
GAME_RELEASE_ABILITY_QUEST_MP_UP,	"クエスト報酬ＭＰ＋上昇"
GAME_RELEASE_ABILITY_QUEST_UP,	"クエスト報酬％上昇"
GAME_RELEASE_ABILITY_AM_FIX_UP,	"アビス・マター入手量＋上昇"
GAME_RELEASE_ABILITY_AM_PER_UP,	"アビス・マター入手量％上昇"
GAME_RELEASE_ABILITY_EXP_UP,	"獲得基本経験値上昇"
GAME_RELEASE_ABILITY_JEXP_UP,	"獲得職業経験値上昇"
GAME_RELEASE_ABILITY_ITEMCREATE_EXP_UP,	"生産時獲得経験値％上昇"
GAME_RELEASE_ABILITY_PAGE_EXP_UP,	"獲得ページ経験値上昇"
GAME_RELEASE_ABILITY_DJOB_JEXP_UP,	"ﾃﾞｭｱﾙｼﾞｮﾌﾞ獲得経験値上昇"
GAME_RELEASE_ABILITY_CP_UP,	"獲得ＣＰ％上昇"
GAME_RELEASE_ABILITY_RAREDROP_UP,	"レアドロップ率上昇"
GAME_RELEASE_ABILITY_AA_PENA_TIME_DOWN,	"AC入場ペナルティ時間短縮"
GAME_RELEASE_ABILITY_SUB_CHAMP,	"対ﾁｬﾝﾌﾟﾀﾞﾒｰｼﾞ減少軽減"
GAME_RELEASE_ABILITY_KWAR_UP,	"騎士団演習報酬％上昇"
GAME_RELEASE_ABILITY_KWAR_PENA_TIME_DOWN,	"騎士団演習再入場時間短縮"
GAME_RELEASE_ABILITY_SCALE_CHG,	"スケール変更"
GAME_RELEASE_ABILITY_DROP_ITEM_ADD,	"ドロップアイテム追加確率上昇"
GAME_RELEASE_ABILITY_ITEM_SYNTHE_FAIL_UP,	"合成失敗物精製確率上昇"
GAME_RELEASE_ABILITY_ITEM_SYNTHE_SUCCESS_UP,	"合成失敗物精製確率減少"
GAME_RELEASE_ABILITY_REGI_HIPOISON_UP,	"猛毒耐性力上昇"
