#パートナープロテクト
GAME_PARTNERPROTECT_LIST_TITLE,"パートナープロテクト ルームリスト"
GAME_PARTNERPROTECT_LIST_SEARCH_STAGE,"%s　%s"
GAME_PARTNERPROTECT_LIST_SEARCH_DIF-1,"全"
GAME_PARTNERPROTECT_LIST_SEARCH_DIF0,"易"
GAME_PARTNERPROTECT_LIST_SEARCH_DIF1,"普"
GAME_PARTNERPROTECT_LIST_SEARCH_DIF2,"難"

GAME_PARTNERPROTECT_ROOMSET_TITLE,"プロテクトルーム作成"
GAME_PARTNERPROTECT_ROOMSET_NAME_ERROR,"ルーム名を設定してください"
GAME_PARTNERPROTECT_ROOMSET_NAME_ERROR2,"文字列が長すぎます"

GAME_PARTNERPROTECT_ROOMEDIT_TITLE,"プロテクトルーム編集"
GAME_PARTNERPROTECT_ROOMEDIT_NUM_ERROR,"現在のメンバー数未満の参加人数が設定されています"
GAME_PARTNERPROTECT_ROOMEDIT_NOTIFY,"ルームの内容が編集されたため、$r状態が[準備中]へと変更されました"

GAME_PARTNERPROTECT_SEARCH_TITLE,"プロテクトルーム検索"

GAME_PARTNERPROTECT_MEMBER_TITLE,"現在の参加者"
GAME_PARTNERPROTECT_MEMBER_LV,"BASE LV %d"
GAME_PARTNERPROTECT_MEMBER_RANK,"ランク:%s"
GAME_PARTNERPROTECT_MEMBER_INFO,"参加しますか？"
GAME_PARTNERPROTECT_MEMBER_FULL,"満員のため参加できません"
GAME_PARTNERPROTECT_MEMBER_PLAY,"ゲーム中のため参加できません"

GAME_PARTNERPROTECT_ROOM_LIST_ERR-1,"ルームリストの取得に失敗しました。"
GAME_PARTNERPROTECT_ROOM_OPENCREATE_ERR-1,"ルームを作成することができません。"
GAME_PARTNERPROTECT_ROOM_OPENCREATE_ERR-2,"既にルームに参加しているため、ルームを作成することができません。"
GAME_PARTNERPROTECT_ROOM_OPENCREATE_ERR-3,"ルームの作成数が上限に達しているため、ルームを作成することができません。"
GAME_PARTNERPROTECT_ROOM_CREATE_ERR0,"ルームを作成しました。"
GAME_PARTNERPROTECT_ROOM_CREATE_ERR-1,"ルームを作成できる状態ではありません。"
GAME_PARTNERPROTECT_ROOM_CREATE_ERR-2,"既にルームに参加しているため、ルーム作成が行えませんでした。"
GAME_PARTNERPROTECT_ROOM_CREATE_ERR-3,"ルームの作成数が上限に達しているため、ルーム作成が行えませんでした。"
GAME_PARTNERPROTECT_ROOM_CREATE_ERR-4,"ルーム名が不正なため、ルーム作成が行えませんでした。"
GAME_PARTNERPROTECT_ROOM_EDIT_ERR-1,"ルームを編集できる状態ではありません。"
GAME_PARTNERPROTECT_ROOM_EDIT_ERR-2,"ルーム名が不正なため、ルームを編集できませんでした。"
GAME_PARTNERPROTECT_ROOM_EDIT_ERR-3,"設定された人数よりもメンバー数の方が多いため、ルームを編集できませんでした。"
GAME_PARTNERPROTECT_ROOM_INFO_ERR-1,"何らかの原因で参加することができませんでした。"
GAME_PARTNERPROTECT_ROOM_INFO_ERR-2,"既にルームが解散されています。"
GAME_PARTNERPROTECT_ROOM_INFO_ERR-3,"ルームにパスワードが設定されているため、参加できませんでした。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR0,"%sに参加しました。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-1,"何らかの原因で参加することができませんでした。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-2,"既に他のルームに参加しているため、参加できませんでした。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-3,"既にルームが解散されています。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-4,"参加人数制限を超過したため、参加することが出来ませんでした。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-5,"パスワードが違います。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-6,"既にパートナープロテクトを開始しているため、参加することが出来ませんでした。"
GAME_PARTNERPROTECT_ROOM_JOIN_ERR-7,"しばらくしてから再度お試しください。"
GAME_PARTNERPROTECT_ROOM_OUT_ERR0,"ルーム「%s」を退出しました。"
GAME_PARTNERPROTECT_ROOM_OUT_ERR-1,"ルームを退出できませんでした。"
GAME_PARTNERPROTECT_ROOM_BREAK_ERR1,"規定時間が経過したため、ルーム「%s」が解散されました。"
GAME_PARTNERPROTECT_ROOM_BREAK_ERR0,"ルーム「%s」を解散しました。"
GAME_PARTNERPROTECT_ROOM_BREAK_ERR-1,"ルームを解散できませんでした。"

GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-1,"何らかの原因で入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-2,"パートナーを装備していないため、入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-3,"ライドパートナーを装備しているため、入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-4,"重量または容量が上限を超えているため、入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-5,"準備中のメンバーがいるため、入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-6,"プロテクトアースの作成上限数に達したため、入場できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MASTER-7,"前回ゲームを行ったマップ	にメンバーが残っているため、入場できませんでした。"

GAME_PARTNERPROTECT_ROOM_READY_ERR_MEMBER-1,"何らかの原因で状態を変更できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MEMBER-2,"パートナーを装備していないため、状態を変更できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MEMBER-3,"ライドパートナーを装備しているため、状態を変更できませんでした。"
GAME_PARTNERPROTECT_ROOM_READY_ERR_MEMBER-4,"重量または容量が上限を超えているため、状態を変更できませんでした。"


GAME_PARTNERPROTECT_ROOM_JOIN,"%sさんがルームに参加しました。"
GAME_PARTNERPROTECT_ROOM_DELETE,"%sさんがルームから退出しました。"
GAME_PARTNERPROTECT_ROOM_CHANGE_MASTER,"%sさんがルームから退出したため、ルームマスターの権限が%sさんに譲渡されました。"
GAME_PARTNERPROTECT_ROOM_INFO_BREAK_MSG,"このルームは解散されました。"
GAME_PARTNERPROTECT_ROOM_LV_WARNING,"パートナーのBaseLVがステージの推奨BaseLVに達していない為、$r厳しい戦いになる可能性があります"

GAME_PARTNERPROTECT_END,"モンスターの進行が終わった！"

GAME_PARTNERPROTECT_MENU_TITLE,"パートナープロテクトメニュー"
GAME_PARTNERPROTECT_MENU_HAVEPP,"個人所持PP："
GAME_PARTNERPROTECT_MENU_PP," PP"
GAME_PARTNERPROTECT_MENU_HP,"トルマリンクリスタルの耐久値"
GAME_PARTNERPROTECT_MENU_WAVE,"モンスターが来る回数："
GAME_PARTNERPROTECT_MENU_OBJECTNUM,"現在の配置数："
GAME_PARTNERPROTECT_MENU_P,"%d P"
GAME_PARTNERPROTECT_MENU_P_NONE,"消費なし"
GAME_PARTNERPROTECT_MENU_NUM_NONE,"制限なし"

GAME_PARTNERPROTECT_RESPAWN_TIME,"パートナーを復活できるまで残り%d秒"
GAME_PARTNERPROTECT_RESPAWN_MSG,"パートナーを復活させますか？"

GAME_PARTNERPROTECT_RESULT_TITLE,"パートナープロテクトの結果"
GAME_PARTNERPROTECT_RESULT_REWARD_0,"信頼度 %dポイント入手"
GAME_PARTNERPROTECT_RESULT_REWARD_1,"%s %dつ"
GAME_PARTNERPROTECT_RESULT_REWARD_WIN,"%sランク報酬をゲット！！"
GAME_PARTNERPROTECT_RESULT_REWARD_LOSE,"ゲームオーバーです"
GAME_PARTNERPROTECT_RESULT_CONT0_INFO,"ルームの総合貢献度"
GAME_PARTNERPROTECT_RESULT_CONT1_INFO,"あなたの活躍貢献度"
GAME_PARTNERPROTECT_RESULT_RANK0,"S"
GAME_PARTNERPROTECT_RESULT_RANK1,"A"
GAME_PARTNERPROTECT_RESULT_RANK2,"B"
GAME_PARTNERPROTECT_RESULT_RANK3,"C"
GAME_PARTNERPROTECT_RESULT_RANK4,"D"
GAME_PARTNERPROTECT_RESULT_RANK5,"E"
GAME_PARTNERPROTECT_RESULT_RANK6,"F"

GAME_PARTNERPROTECT_STAGE_INFO,"%s$r$r▼推奨レベル$r・%s$r・%s$r$r▼報酬$r・%s$r・%s$r$r▼内容$r・%s"
GAME_PARTNERPROTECT_STAGE_INFO_LV,"LV%d"
GAME_PARTNERPROTECT_STAGE_INFO_POINT,"信頼度ポイント"
GAME_PARTNERPROTECT_ROOMNAME_HINT_0,"お気軽にどうぞ"
GAME_PARTNERPROTECT_ROOMNAME_HINT_1,"わいわい部屋"
GAME_PARTNERPROTECT_ROOMNAME_HINT_2,"どなたでもどうぞ！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_3,"I Love ECO"
GAME_PARTNERPROTECT_ROOMNAME_HINT_4,"プロテクト最高ー↑↑"
GAME_PARTNERPROTECT_ROOMNAME_HINT_5,"どなたでもお気軽にどうぞ！！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_6,"ECO民が集う部屋"
GAME_PARTNERPROTECT_ROOMNAME_HINT_7,"初心者歓迎～！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_8,"楽しもうぷろてくとぅ～！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_9,"ルーキー歓迎！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_10,"みんなでわいわい楽しもう！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_11,"新人から玄人まで集まれ！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_12,"レッツゴープロテクト！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_13,"チャットで楽しくプロテクト！"
GAME_PARTNERPROTECT_ROOMNAME_HINT_MAX,"14"
