
# 騎士団演習
GAME_SMSG_KNIGHTWAR_NOWJOIN,"に参加中"
GAME_SMSG_KNIGHTWAR_PRIZENAME0,"ブービー of デッド賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME1,"ナイチンゲール賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME2,"戦場の収集家賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME3,"隠れん坊賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME4,"暴れん坊賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME5,"スーパーマン賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME6,"運搬の達人賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME7,"ボマー賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME8,"ゴミ運び人賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME9,"がんばリーダー賞"
GAME_SMSG_KNIGHTWAR_PRIZENAME10,"リーダーキラー賞"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION0,"死亡数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION1,"回復量"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION2,"石納品数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION3,"貯被ダメ"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION4,"討伐人数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION5,"被ダメ"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION6,"運搬数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION7,"爆撃数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION8,"運搬数"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION9,"経過時間"
GAME_SMSG_KNIGHTWAR_PRIZECAPTION10,"倒した数"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_NOLEADER,"自軍のリーダーが居なくなりました"
GAME_SMSG_KNIGHTWAR_HANDI_0,"特殊アイテム入手難易度軽減"
GAME_SMSG_KNIGHTWAR_HANDI_1,"獲得点数%.1f倍"

# 闘技場戦
GAME_SMSG_CSWAR_WIN,"あなたのチームが勝ちました"
GAME_SMSG_CSWAR_LOSE,"あなたのチームが負けました"
GAME_SMSG_CSWAR_DRAW,"引き分けです"

# 攻防戦
GAME_SMSG_DEFWAR_RESULT,"防衛戦の結果"
GAME_SMSG_DEFWAR_RESULTSTR,"この防衛戦における$rあなたの結果です。"
GAME_SMSG_OFFWAR_RESULT,"攻略戦の結果"
GAME_SMSG_OFFWAR_RESULTSTR,"この攻略戦における$rあなたの結果です。"
GAME_SMSG_OADWAR_RECOVER,"奪還成功！！"
GAME_SMSG_OADWAR_RECOVERSTR,"貴殿の働きにより$r奪還作戦は成功した！$r$r心より感謝する！！"
