# システムメッセージ(アイテム)
GAME_SMSG_ITEM_USEERR1,"ターゲットがいません"
GAME_SMSG_ITEM_DROPERR17,"レンタルアイテムは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR18,"ＤＥＭ強化チップを捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR19,"変形したアイテムを捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR20,"変形中のアイテムを捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR21,"ロックアイテムは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR22,""
GAME_SMSG_ITEM_MOVEERR1,"存在しないアイテムです"
GAME_SMSG_ITEM_MOVEERR2,"アイテム数が不足しています"
GAME_SMSG_ITEM_MOVEERR3,"アイテムを移動することが出来ません"
GAME_SMSG_ITEM_MOVEERR4,"憑依中は装備を解除することが出来ません"
GAME_SMSG_ITEM_MOVEERR5,"これ以上アイテムを所持することはできません"
GAME_SMSG_ITEM_MOVEERR6,"憑依者待機中は装備を解除することが出来ません"
GAME_SMSG_ITEM_MOVEERR7,"トレード中はアイテムを移動出来ません"
GAME_SMSG_ITEM_MOVEERR8,"イベント中はアイテムを移動できません"
#9は状態異常中
GAME_SMSG_ITEM_MOVEERR10,"マシナフォーム中は装備を外すことができません"
GAME_SMSG_ITEM_EQUIPERR2,"装備条件を満たしていません"
GAME_SMSG_ITEM_EQUIPERR3,"行動不能時は装備を変更できません"
GAME_SMSG_ITEM_EQUIPERR4,"イベント中は装備を変更できません"
GAME_SMSG_ITEM_EQUIPERR5,"ゴーレムショップに出品中のアイテムは装備出来ません"
GAME_SMSG_ITEM_EQUIPERR6,"弓を装備していません"
GAME_SMSG_ITEM_EQUIPERR7,"銃を装備していません"
GAME_SMSG_ITEM_EQUIPERR8,"トレード中は装備を変更出来ません"
GAME_SMSG_ITEM_EQUIPERR9,"未鑑定品を装備する事は出来ません"
GAME_SMSG_ITEM_EQUIPERR10,"憑依中は装備を変更できません"
GAME_SMSG_ITEM_EQUIPERR11,"憑依者待機中は装備を変更できません"
GAME_SMSG_ITEM_EQUIPERR12,"故障品は装備できません"
GAME_SMSG_ITEM_EQUIPERR13,"装備するには種族を変えて下さい"
GAME_SMSG_ITEM_EQUIPERR14,"装備するには性別を変えて下さい"
GAME_SMSG_ITEM_EQUIPERR15,"装備するにはレベルを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR16,"装備するにはSTRを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR17,"装備するにはMAGを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR18,"装備するにはVITを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR19,"装備するにはDEXを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR20,"装備するにはAGIを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR21,"装備するにはINTを上げて下さい"
GAME_SMSG_ITEM_EQUIPERR22,"運が足りない為装備できません"
GAME_SMSG_ITEM_EQUIPERR23,"魅力が足りない為装備できません"
GAME_SMSG_ITEM_EQUIPERR24,"装備するには職業を変えて下さい"
GAME_SMSG_ITEM_EQUIPERR25,"違う組織専用の装備品です"
#26は状態異常中
GAME_SMSG_ITEM_EQUIPERR27,"眠っている為出現させることが出来ません"
GAME_SMSG_ITEM_EQUIPERR28,"パイロットの資格が無いため騎乗できません"
GAME_SMSG_ITEM_EQUIPERR29,"マシナフォーム中は装備できません"
GAME_SMSG_ITEM_EQUIPERR30,"転生者でないと装備出来ません"
GAME_SMSG_ITEM_EQUIPERR31,"転生者以外でないと装備出来ません"
GAME_SMSG_ITEM_EQUIPERR32,"パートナーを装備してから30秒経過していないため装備できません"
GAME_SMSG_ITEM_EQUIPERR100,"装備アイテムの変更には時間を置いてください"

# システムメッセージ(トレード)
GAME_SMSG_TRADE_REQERR1,"トレード中です"
GAME_SMSG_TRADE_REQERR2,"イベント中です"
GAME_SMSG_TRADE_REQERR3,"相手がトレード中です"
GAME_SMSG_TRADE_REQERR4,"相手がイベント中です"
GAME_SMSG_TRADE_REQERR5,"相手が見つかりません"
GAME_SMSG_TRADE_REQERR6,"トレードを断られました"
GAME_SMSG_TRADE_REQERR7,"ゴーレムショップ起動中です"
GAME_SMSG_TRADE_REQERR8,"相手がゴーレムショップ起動中です"
GAME_SMSG_TRADE_REQERR9,"憑依中です"
GAME_SMSG_TRADE_REQERR10,"相手が憑依中です"
GAME_SMSG_TRADE_REQERR11,"相手のトレード設定が不許可になっています"
GAME_SMSG_TRADE_REQERR12,"トレードを行える状態ではありません"
GAME_SMSG_TRADE_REQERR13,"トレード相手との距離が離れすぎています"
GAME_SMSG_TRADE_REQERR14,"お試しプレイ期間中はトレードが行なえません"
GAME_SMSG_TRADE_REQERR15,"対象がお試しプレイ期間中であるため、トレードが行なえません"
GAME_SMSG_TRADE_ERR1,"取り引きアイテム数の上限を超えています"
GAME_SMSG_TRADE_ERR2,"所持金額の上限を超えています"
GAME_SMSG_TRADE_ERR3,"実際には持っていないアイテムが取り引きされようとしました"
GAME_SMSG_TRADE_ERR4,"実際に持っている数量より大きな数量を取り引きしようとしました"
GAME_SMSG_TRADE_ERR5,"変身中マリオネットが取り引きリストの中にありました"
GAME_SMSG_TRADE_ERR6,"トレード後のアイテム所持数が100個を超えてしまいます"
GAME_SMSG_TRADE_ERR8,"お試しプレイユーザー制限"
GAME_SMSG_WAREHOUSE_ERR1,"倉庫を開けていません"
GAME_SMSG_WAREHOUSE_ERR2,"指定されたアイテムは存在しません"
GAME_SMSG_WAREHOUSE_ERR3,"指定された数量が不正です"
GAME_SMSG_WAREHOUSE_ERR4,"倉庫のアイテム数が上限を超えてしまうためキャンセルされました"
GAME_SMSG_WAREHOUSE_ERR5,"キャラのアイテム数が100個を超えてしまうためキャンセルされました"
GAME_SMSG_WAREHOUSE_ERR6,"イベントアイテムは預けられません"
GAME_SMSG_WAREHOUSE_ERR7,"指定した格納場所は使用できません"
GAME_SMSG_WAREHOUSE_ERR8,"変身中のマリオネットは預ける事ができません"
GAME_SMSG_WAREHOUSE_ERR99,"倉庫移動に失敗しました"
GAME_SMSG_TRANSPORT_ERR0,"アイテムを搬送しました"
GAME_SMSG_TRANSPORT_ERR1,"倉庫を開けていません"
GAME_SMSG_TRANSPORT_ERR2,"指定されたアイテムは存在しません"
GAME_SMSG_TRANSPORT_ERR3,"指定された数量が不正です"
GAME_SMSG_TRANSPORT_ERR4,"倉庫のアイテム数が上限を超えてしまうためキャンセルされました"
GAME_SMSG_CHIPWAREHOUSE_ERR1,"チップ倉庫を開けていません"
GAME_SMSG_CHIPWAREHOUSE_ERR2,"これ以上倉庫に預けることはできません"
GAME_SMSG_CHIPWAREHOUSE_ERR3,"キャラのアイテム数が100個を超えてしまうためキャンセルされました"
GAME_SMSG_CHIPWAREHOUSE_ERR4,"100個以上のチップの収納はできません"
GAME_SMSG_CHIPWAREHOUSE_ERR5,"指定した格納場所は使用できません"
