#アナザーブックウィンドウ
GAME_ANOTHERCHRONICLEWND_TITLE,"アナザーブック"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_ERR_2_1,"「%s」または$r「%s」を所持して$rいないため、作成することが$r出来ませんでした"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_RESULT,"「%s」の$r%dページ目が完成しました！"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR0,"「%s」の%dページ目の作成に成功しました"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-1,"何かしらの理由で作成出来ませんでした"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-2,""
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-3,"必要なアイテムを所持していないため、作成出来ませんでした"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-4,"選択したアナザーページはこれ以上作成する事が出来ません"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-5,"アナザーページの紙片が揃っていないため、作成することが出来ませんでした"
GAME_ANOTHERCHRONICLEWND_MAKE_ERR-6,"イベント中なので実行できませんでした"
GAME_ANOTHERCHRONICLEWND_MSG_CHANGE,"アナザーページを装着します$rよろしいですか？"
GAME_ANOTHERCHRONICLEWND_CHANGE_ERR0,"アナザーページを装着しました"
GAME_ANOTHERCHRONICLEWND_CHANGE_ERR-1,"何かしらの理由で装着出来ませんでした"
GAME_ANOTHERCHRONICLEWND_CHANGE_ERR-2,"完成していないページの為、装着できません"
GAME_ANOTHERCHRONICLEWND_CHANGE_ERR-3,"開放スキルの効果中の為、装着できません"
GAME_ANOTHERCHRONICLEWND_CHANGE_ERR-4,"アナザーページの着脱から１分が経過していない為、装着できません"
GAME_ANOTHERCHRONICLEWND_MSG_REMOVE,"アナザーページを取り外します$rよろしいですか？"
GAME_ANOTHERCHRONICLEWND_REMOVE_ERR0,"アナザーページを外しました"
GAME_ANOTHERCHRONICLEWND_REMOVE_ERR-1,"何かしらの理由で外せませんでした"
GAME_ANOTHERCHRONICLEWND_REMOVE_ERR-2,"アナザーページを装着していません"
GAME_ANOTHERCHRONICLEWND_REMOVE_ERR-3,"開放スキルの効果中の為、外せません"
GAME_ANOTHERCHRONICLEWND_REMOVE_ERR-4,"アナザーページの着脱から１分が経過していない為、外せません"


#アナザー振分ウィンドウ
GAME_ANOTHERDISTRIBUTEWND_TITLE,"ページ経験値振り分け"
GAME_ANOTHERDISTRIBUTEWND_EXP0_TAG,"ページ経験値："
GAME_ANOTHERDISTRIBUTEWND_EXP1_TAG,"使用後の量　："
GAME_ANOTHERDISTRIBUTEWND_SYMBOL_RIGHT,"⇒"
GAME_ANOTHERDISTRIBUTEWND_NEXTBTN,"スキルレベルを1つ上げる分だけ割り振ります"
GAME_ANOTHERDISTRIBUTEWND_SKILLMAX,"最大レベルです"
GAME_ANOTHERDISTRIBUTEWND_DETAIL,"各スキルのゲージにカーソルを合わせると、必要な経験値が表示されます"
GAME_ANOTHERDISTRIBUTEWND_NEXTLV_ERR,"ページ経験値が %s 足りません"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR0,"ページ経験値を振り分けました"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-1,"何らかの原因で振り分けに失敗しました"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-2,"振り分ける分のページ経験値が足りません"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-3,"既にスキルレベルが最大です"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-4,"所持ページ経験値より多く振り分けようとしました"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-5,"振り分けるスキルは対象外です"
GAME_ANOTHERDISTRIBUTEWND_RESULT_ERR-6,"イベント中の為、振り分ける事が出来ません"

#アナザーキャプチャーウィンドウ
GAME_ANOTHERCAPTUREWND_TITLE,"ＥＸキャプチャーリスト"
GAME_ANOTHERCAPTUREWND_TAG_STR0,"あらすじ"
GAME_ANOTHERCAPTUREWND_TAG_STR1,"主な登場キャラクター"
GAME_ANOTHERCAPTUREWND_TAG_STR2,"主なレアアイテム"
GAME_ANOTHERCAPTUREWND_STC_TIME,"%d 分"
GAME_ANOTHERCAPTUREWND_STC_LV_MIN,"LV %d 以上"
GAME_ANOTHERCAPTUREWND_STC_LV_MAX,"LV %d 以下"
GAME_ANOTHERCAPTUREWND_STC_TRANS0,"未転生"
GAME_ANOTHERCAPTUREWND_STC_TRANS1,"転生済"
GAME_ANOTHERCAPTUREWND_STC_NETCAFE,"【受注者のみ】ネットカフェ限定"
GAME_ANOTHERCAPTUREWND_STC_DATE,"【受注者のみ】%d時～%d時限定"
GAME_ANOTHERCAPTUREWND_STC_NEEDPOINT,"クエストポイント： %d 消費"
GAME_ANOTHERCAPTUREWND_STC_NOUSE,"無し"

#アナザー会話
GAME_ANOTHERTALK_WND,"会話"
GAME_ANOTHERTALK_REPLAY_WND,"会話（リプレイ）"
GAME_ANOTHERTALK_SET_WND,"会話ウインドウ設定"
GAME_ANOTHERTALK_SET_0,"常に最新の会話を表示する"
GAME_ANOTHERTALK_SET_1,"会話ウインドウ非表示中に会話が追加された時自動で表示する"
GAME_ANOTHERTALK_SET_2,"ボイスを再生させない"
GAME_ANOTHERTALK_LOG_CHK,"会話をログに表示する"
GAME_ANOTHERTALK_LOG_NOT_FOUND,"会話ログが見つかりません"
