# 装備ウィンドウ
GAME_EQUIP_TITLE,"装備"
GAME_LOOKCHANGEWND_ERR-3,"選択した髪型保管枠の有効期限が切れたため見た目変更を行えませんでした"
GAME_LOOKCHANGEWND_FACE_SP,"特殊"
GAME_LOCKCHANGEWND_NOWFACE,"現在の顔$r"
GAME_LOCKCHANGEWND_NOWHAIR,"現在の髪型$r"
GAME_LOCKCHANGEWND_NOWHAIRCOLOR,"現在の髪色$r"

GAME_LOOKCHGEXTENDWND_TITLE,"どこの保管枠を拡張しますか？"
GAME_LOOKCHGEXTENDWND_LIST_STR_0,"顔の保管枠"
GAME_LOOKCHGEXTENDWND_LIST_STR_1,"髪型の保管枠"
GAME_LOOKCHGEXTENDWND_LIST_STR_2,"髪色の保管枠"
GAME_LOOKCHGEXTENDWND_LIST_STR_EX,"（残り %d 枠拡張可能）"

GAME_LOOKCHGEXTENDMSG_0,"「%s」を使用して$r顔の保管枠（残り %d 枠拡張可能）を拡張しますか？"
GAME_LOOKCHGEXTENDMSG_1,"「%s」を使用して$r髪型の保管枠（残り %d 枠拡張可能）を拡張しますか？"
GAME_LOOKCHGEXTENDMSG_2,"「%s」を使用して$r髪色の保管枠（残り %d 枠拡張可能）を拡張しますか？"
GAME_LOOKCHGEXTENDMSG_FACE_ERR0,"顔の保存枠を拡張しました"
GAME_LOOKCHGEXTENDMSG_HAIR_ERR0,"髪型の保存枠を拡張しました"
GAME_LOOKCHGEXTENDMSG_HAIRCOLOR_ERR0,"髪色の保存枠を拡張しました"
GAME_LOOKCHGEXTENDMSG_ERR-1,"現在見た目の保管枠の拡張を行えない状態です"
GAME_LOOKCHGEXTENDMSG_ERR-2,"イベント中は見た目の保管枠の拡張を行えません"
GAME_LOOKCHGEXTENDMSG_ERR-3,"既に全ての枠が開放されています"
GAME_LOOKCHGEXTENDMSG_ERR-4," ECOSHOP にて該当アイテムをご購入ください"
GAME_LOOKCHGEXTENDMSG_ERR-4_0,"ECOショップ にて「%s」をご購入ください$r今すぐECOショップを開きますか？"
GAME_LOOKCHGEXTENDMSG_ERR-4_1,"「%s」はアイテムカテゴリ$r「オシャレ系アイテム」にてお求めいただけます"

GAME_LOOKCHGHAIREXTENDWND_TITLE,"髪型のどの保管枠を拡張しますか？"
GAME_LOOKCHGHAIREXTENDWND_LIST_LAST,"未拡張の枠（残り %d 枠）"
GAME_LOOKCHGHAIREXTENDWND_0,"（拡張済み）"
GAME_LOOKCHGHAIREXTENDWND_1,"（拡張可能）"
GAME_LOOKCHGHAIREXTENDMSG,"『%s』$rを拡張しますか？"


# DEM装備ウィンドウ
GAME_DEMEQUIP_TITLE,"装備パーツ"
GAME_DEMEQUIP_PLACE_0,"ヘッドパーツ"
GAME_DEMEQUIP_PLACE_1,"ボディパーツ"
GAME_DEMEQUIP_PLACE_2,"レッグパーツ"
GAME_DEMEQUIP_PLACE_3,"バックパーツ"
GAME_DEMEQUIP_PLACE_4,"アームパーツ(右)"
GAME_DEMEQUIP_PLACE_5,"アームパーツ(左)"

GAME_DEMEQUIP_RIDE_0,"騎乗スロット1"
GAME_DEMEQUIP_RIDE_1,"騎乗スロット2"
GAME_DEMEQUIP_RIDE_2,"騎乗スロット3"

# アイテムドロップ確認
GAME_ITEM_DROP_CHECK,"%sを%d個地面に落とします"
