# アイテムウィンドウ
GAME_ITEM_TITLE,"持ち物"
GAME_ITEM_STATUS_1,"攻撃力(斬り)"
GAME_ITEM_STATUS_2,"攻撃力(突き)"
GAME_ITEM_STATUS_3,"魔法攻撃力"
GAME_ITEM_STATUS_4,"防御力(減算)"
GAME_ITEM_STATUS_5,"防御力(割合)"
GAME_ITEM_STATUS_6,"魔法防御力(減算)"
GAME_ITEM_STATUS_7,"魔法防御力(割合)"
GAME_ITEM_STATUS_8,"近距離命中"
GAME_ITEM_STATUS_9,"遠距離命中"
GAME_ITEM_STATUS_10,"魔法命中"
GAME_ITEM_STATUS_11,"近距離回避"
GAME_ITEM_STATUS_12,"遠距離回避"
GAME_ITEM_STATUS_13,"魔法抵抗"
GAME_ITEM_STATUS_14,"クリティカル"
GAME_ITEM_STATUS_15,"クリティカル回避"
GAME_ITEM_STATUS_16,"回復力"
GAME_ITEM_STATUS_17,"魔法回復力"
GAME_ITEM_STATUS_18,"スタミナ回復力"
GAME_ITEM_STATUS_19,"攻撃速度"
GAME_ITEM_STATUS_20,"詠唱速度"
GAME_ITEM_STATUS_21,"スロット数"

GAME_ITEM_ATACK,"物理攻撃力"

GAME_ITEM_ATTR_0,"無属性値"
GAME_ITEM_ATTR_1,"火属性値"
GAME_ITEM_ATTR_2,"水属性値"
GAME_ITEM_ATTR_3,"風属性値"
GAME_ITEM_ATTR_4,"地属性値"
GAME_ITEM_ATTR_5,"光属性値"
GAME_ITEM_ATTR_6,"闇属性値"

GAME_ITEM_UNUSUAL_STATUS_0,"毒性をもつ"
GAME_ITEM_UNUSUAL_STATUS_1,"石化性をもつ"
GAME_ITEM_UNUSUAL_STATUS_2,"麻痺性をもつ"
GAME_ITEM_UNUSUAL_STATUS_3,"睡眠性をもつ"
GAME_ITEM_UNUSUAL_STATUS_4,"沈黙性をもつ"
GAME_ITEM_UNUSUAL_STATUS_5,"鈍足性をもつ"
GAME_ITEM_UNUSUAL_STATUS_6,"混乱性をもつ"
GAME_ITEM_UNUSUAL_STATUS_7,"凍結性をもつ"
GAME_ITEM_UNUSUAL_STATUS_8,"気絶性をもつ"

GAME_ITEM_RECOVERY_STATUS_0,"毒状態を解く"
GAME_ITEM_RECOVERY_STATUS_1,"石化状態を解く"
GAME_ITEM_RECOVERY_STATUS_2,"麻痺状態を解く"
GAME_ITEM_RECOVERY_STATUS_3,"睡眠状態を解く"
GAME_ITEM_RECOVERY_STATUS_4,"沈黙状態を解く"
GAME_ITEM_RECOVERY_STATUS_5,"鈍足状態を解く"
GAME_ITEM_RECOVERY_STATUS_6,"混乱状態を解く"
GAME_ITEM_RECOVERY_STATUS_7,"凍結状態を解く"
GAME_ITEM_RECOVERY_STATUS_8,"気絶状態を解く"

GAME_ITEM_EQUIP_TITLE,"装備可能条件"
GAME_ITEM_EQUIP_CHANGE,"武具融合により装備可能条件が変更されています"

GAME_ITEM_EQUIP_PARAM_0,"装備可能STR"
GAME_ITEM_EQUIP_PARAM_1,"装備可能MAG"
GAME_ITEM_EQUIP_PARAM_2,"装備可能VIT"
GAME_ITEM_EQUIP_PARAM_3,"装備可能DEX"
GAME_ITEM_EQUIP_PARAM_4,"装備可能AGI"
GAME_ITEM_EQUIP_PARAM_5,"装備可能INT"

GAME_ITEM_EQUIP_POSSIBLE_RACE,"装備可能種族"
GAME_ITEM_EQUIP_POSSIBLE_ALL_RACE,"全種族装備可能"
GAME_ITEM_EQUIP_POSSIBLE_SEX,"装備可能性別"
GAME_ITEM_EQUIP_POSSIBLE_MALE,"男性専用装備"
GAME_ITEM_EQUIP_POSSIBLE_FEMALE,"女性専用装備"
GAME_ITEM_EQUIP_POSSIBLE_UNISEX,"男女兼用"
GAME_ITEM_EQUIP_POSSIBLE_LV,"装備可能LV"
GAME_ITEM_EQUIP_POSSIBLE_LV_BEFORE,"融合前装備可能LV"

GAME_ITEM_EQUIP_POSSIBLE_JOB,"装備可能職業"
GAME_ITEM_EQUIP_POSSIBLE_ALL_JOB,"全職業装備可能"
GAME_ITEM_EQUIP_POSSIBLE_ALLFIGHTER,"ファイター系"
GAME_ITEM_EQUIP_POSSIBLE_ALLSPELLUSER,"スペルユーザー系"
GAME_ITEM_EQUIP_POSSIBLE_ALLBACKPACKER,"バックパッカー系"

GAME_ITEM_EQUIP_POSSIBLE_JOINTJOB,"ジョイントジョブ"


GAME_ITEM_FUSION_NAME,"見た目情報"
GAME_ITEM_KINDTYPE,"種別タイプ"
GAME_ITEM_FUSION_SPECIAL,"素材武具情報"

GAME_ITEM_PETPARAM_ADV,"転生"
GAME_ITEM_ATKEFFECT,"HitEffect"
GAME_ITEM_DORMANCY,"休眠中"
GAME_ITEM_USE_SKILL_TAG,"装備時使用可能スキル"
GAME_ITEM_PASSIVE_SKILL_TAG,"装備時パッシブスキル"
GAME_ITEM_POSSESS_USE_SKILL_TAG,"憑依時使用可能スキル"
GAME_ITEM_POSSESS_PASSIVE_SKILL_TAG,"憑依時パッシブスキル"

GAME_ITEM_INFO_SKETCH,"%sをスケッチ"
GAME_ITEM_INFO_FIGURE,"%sフィギュア"
GAME_ITEM_INFO_FREESCROLL,"%sを封入" 

GAME_ITEM_EQUIP_PRANK,"装備可能Ｐランク"

GAME_ITEM_EQUIP_COND,"装備可能所属軍"
GAME_ITEM_ASSIGN_AKRO_EAST,"アクロニア騎士団東軍に所属"
GAME_ITEM_ASSIGN_AKRO_WEST,"アクロニア騎士団西軍に所属"
GAME_ITEM_ASSIGN_AKRO_SOUTH,"アクロニア騎士団南軍に所属"
GAME_ITEM_ASSIGN_AKRO_NORTH,"アクロニア騎士団北軍に所属"

GAME_ITEM_TIP_0,"アイテムの基本的な情報を表示します"
GAME_ITEM_TIP_1,"アイテムの戦闘に関わる情報を表示します"
GAME_ITEM_TIP_2,"アイテムのイリスカード情報を表示します"
GAME_ITEM_TIP_3,"チップアイテムの情報を表示します"
GAME_ITEM_TIP_4,"アイテムの見た目情報を表示します"
GAME_ITEM_TIP_PARTS,"パーツアイテムの融合情報を表示します"

GAME_ITEM_EQUIPCARD,"装着カード"
GAME_ITEM_SLOTITEM,"スロット拡張素材"

GAME_ITEM_LOOK_INFO,"見た目使用中情報"
GAME_ITEM_PARTS_FUSION,"パーツ融合情報"
GAME_ITEM_LOOK_ITEM,"アイテム名"

GAME_ITEM_BALLOON_NULL,""
GAME_ITEM_BALLOON_NONE,"雑貨"
GAME_ITEM_BALLOON_HELM,"かぶる物"
GAME_ITEM_BALLOON_ACCESORY,"装飾品"
GAME_ITEM_BALLOON_ARMOR,"着る物"
GAME_ITEM_BALLOON_BACKPACK,"背負い袋"
GAME_ITEM_BALLOON_COAT,"羽織る物"
GAME_ITEM_BALLOON_SOCKS,"靴下"
GAME_ITEM_BALLOON_BOOTS,"靴"
GAME_ITEM_BALLOON_SHORT_SWORD,"短剣"
GAME_ITEM_BALLOON_SWORD,"剣"
GAME_ITEM_BALLOON_SHIELD,"盾"
GAME_ITEM_BALLOON_HAMMER,"鎚"
GAME_ITEM_BALLOON_AXE,"斧"
GAME_ITEM_BALLOON_SPEAR,"槍"
GAME_ITEM_BALLOON_STAFF,"杖"
GAME_ITEM_BALLOON_THROW,"投げる物"
GAME_ITEM_BALLOON_BOW,"弓"
GAME_ITEM_BALLOON_ARROW,"矢"
GAME_ITEM_BALLOON_GUN,"銃"
GAME_ITEM_BALLOON_BULLET,"弾丸"
GAME_ITEM_BALLOON_HANDBAG,"手提げ袋"
GAME_ITEM_BALLOON_BOOK,"本"
GAME_ITEM_BALLOON_INSTRUMENT,"楽器"
GAME_ITEM_BALLOON_ROPE,"ロープ"
GAME_ITEM_BALLOON_CARD,"カード"
GAME_ITEM_BALLOON_SCROLL,"魔法物"
GAME_ITEM_BALLOON_ETC,"？？？"
GAME_ITEM_BALLOON_EXSWORD,"特殊武器"
GAME_ITEM_BALLOON_EXGUN,"特殊武器"
GAME_ITEM_BALLOON_CLAW,"爪"
GAME_ITEM_BALLOON_KNUCKLE,"ナックル"
GAME_ITEM_BALLOON_MONEY,"宝石"
GAME_ITEM_BALLOON_FOOD,"食べ物"
GAME_ITEM_BALLOON_POTION,"飲み物"
GAME_ITEM_BALLOON_MARIO,"人形"
GAME_ITEM_BALLOON_BOX,"箱"
GAME_ITEM_BALLOON_SEED,"種"
GAME_ITEM_BALLOON_STAMP,"スタンプ"
GAME_ITEM_BALLOON_USE,"道具"
GAME_ITEM_BALLOON_PET,"イベントアイテム"
GAME_ITEM_BALLOON_PARTNER,"パートナー"
GAME_ITEM_BALLOON_BACK_DEMON,"背負い魔"
GAME_ITEM_BALLOON_RIDE_PET,"イベントアイテム"
GAME_ITEM_BALLOON_RIDE_PET_ROBOT,"２足歩行ロボ"
GAME_ITEM_BALLOON_RIDE_PARTNER,"ライドパートナー"
GAME_ITEM_BALLOON_PETFOOD,"フード"
GAME_ITEM_BALLOON_FURNITURE,"家具"
GAME_ITEM_BALLOON_BASEBUILD,"何かの部品"
GAME_ITEM_BALLOON_FF_BASEBUILD,"飛空城の部品"
GAME_ITEM_BALLOON_ITDGN_CREATE,"不思議なモノ"
GAME_ITEM_BALLOON_ROBOT_GROW,"強化パーツ"
GAME_ITEM_BALLOON_JOINT_SYMBOL,"シンボル"
GAME_ITEM_BALLOON_EFFECT,"エフェクト装備"
GAME_ITEM_BALLOON_IRIS_CARD,"イリスカード"
GAME_ITEM_BALLOON_DEM_PARTS,"ＤＥＭパーツ"
GAME_ITEM_BALLOON_DEM_CHIP,"ＤＥＭ強化チップ"
GAME_ITEM_BALLOON_FACECHANGE,"顔"
GAME_ITEM_BALLOON_EXEMOTION,"表情"
GAME_ITEM_BALLOON_UNION_WEAPON,"パートナー用武器"
GAME_ITEM_BALLOON_UNION_COSTUME,"パートナー用防具"
GAME_ITEM_BALLOON_UNION_ACTCUBE,"アクトキューブ"
GAME_ITEM_BALLOON_UNION_FOOD,"おやつ"
GAME_ITEM_BALLOON_ANOTHER_PIECE,"アナザーページ紙片"

GAME_ITEM_KIND_NONE,""
GAME_ITEM_KIND_POTION,"ポーション"
GAME_ITEM_KIND_FOOD,"食べ物"
GAME_ITEM_KIND_MARIONETTE,"マリオネット"
GAME_ITEM_KIND_CSWAR_MARIO,"マリオネット"
GAME_ITEM_KIND_TREASURE_BOX,"宝箱"
GAME_ITEM_KIND_CONTAINER,"コンテナ"
GAME_ITEM_KIND_TIMBER_BOX,"木箱"
GAME_ITEM_KIND_SEED,"種"
GAME_ITEM_KIND_SKETCHBOOK,"スケッチブック"
GAME_ITEM_KIND_IRIS_CARD,"イリスカード"
GAME_ITEM_KIND_DEMCUSTOMIZE_CHIP,"チップ"
GAME_ITEM_KIND_GOLEM,"ゴーレム"
GAME_ITEM_KIND_SCROLL,"スクロール"
GAME_ITEM_KIND_SKILLBOOK,"スキルブック"
GAME_ITEM_KIND_MONEY,"宝石"
GAME_ITEM_KIND_CATALOG,""
GAME_ITEM_KIND_STAMP,"モンスタースタンプ"
GAME_ITEM_KIND_ITDGN_CREATE,"インスタンスダンジョン"
GAME_ITEM_KIND_FURNITURE,"家具"
GAME_ITEM_KIND_FREESCROLL,"スクロール"
GAME_ITEM_KIND_USE,"道具"
GAME_ITEM_KIND_FACECHANGE,"顔"
GAME_ITEM_KIND_EXEMOTION,"表情"
GAME_ITEM_KIND_FG_GARDEN_FLOOR,"飛空庭の庭"
GAME_ITEM_KIND_FG_STUMP_BASE,"飛空庭の土台"
GAME_ITEM_KIND_FG_STUMP_SAIL,"飛空庭の回転帆"
GAME_ITEM_KIND_FG_GARDEN_MODELHOUSE,"飛空庭の家"
GAME_ITEM_KIND_FG_GARDEN_CUSTOMHOUSE,"飛空庭の家"
GAME_ITEM_KIND_FG_HOUSE_ROOF,"飛空庭の家の屋根"
GAME_ITEM_KIND_FG_HOUSE_WALL,"飛空庭の家の壁"
GAME_ITEM_KIND_FG_ROOM_FLOOR,"飛空庭の家の床"
GAME_ITEM_KIND_FG_ROOM_WALL,"飛空庭の家の壁紙"
GAME_ITEM_KIND_FF_BODY,"飛空城の外装"
GAME_ITEM_KIND_FF_FLOOR,"飛空城の床"
GAME_ITEM_KIND_FF_CASTLE,"リングハウス"
GAME_ITEM_KIND_FF_ROOM_FLOOR,"リングハウスの床"
GAME_ITEM_KIND_FF_ROOM_WALL,"リングハウスの壁紙"
GAME_ITEM_KIND_FF_BOOTH,"飛空城のブース"
GAME_ITEM_KIND_FF_ATTRACTION_UNIT,"飛空城のアトラクションユニット"
GAME_ITEM_KIND_PETFOOD_ANIMAL,"フード"
GAME_ITEM_KIND_PETFOOD_HUMAN,"フード"
GAME_ITEM_KIND_PETFOOD_INSECT,"フード"
GAME_ITEM_KIND_PETFOOD_PLANT,"フード"
GAME_ITEM_KIND_PETFOOD_MAGIC_CREATURE,"フード"
GAME_ITEM_KIND_PETFOOD_ELEMENT,"フード"
GAME_ITEM_KIND_PETFOOD_BIRD,"フード"
GAME_ITEM_KIND_PETFOOD_WATER_ANIMAL,"フード"
GAME_ITEM_KIND_PETFOOD_UNDEAD,"フード"
GAME_ITEM_KIND_PETFOOD_MACHINE,"フード"
GAME_ITEM_KIND_PETFOOD,"フード"
GAME_ITEM_KIND_BAIT_ANIMAL,"活餌"
GAME_ITEM_KIND_BAIT_INSECT,"活餌"
GAME_ITEM_KIND_BAIT_BIRD,"活餌"
GAME_ITEM_KIND_BAIT_WATER_ANIMAL,"活餌"

GAME_ITEM_KIND_ROBOT_GROW_ATKHIT,"強化パーツ"
GAME_ITEM_KIND_ROBOT_GROW_MAGSKLHIT,"強化パーツ"
GAME_ITEM_KIND_ROBOT_GROW_ATKDAM,"強化パーツ"
GAME_ITEM_KIND_ROBOT_GROW_MAGSKLDAM,"強化パーツ"
GAME_ITEM_KIND_ROBOT_GROW_CRIHIT,"強化パーツ"
GAME_ITEM_KIND_ROBOT_GROW_MEAL,"強化パーツ"

GAME_ITEM_KIND_HELM,"頭部防具"
GAME_ITEM_KIND_ACCESORY_HEAD,"頭部装飾品"
GAME_ITEM_KIND_ACCESORY_FACE,"顔装飾品"
GAME_ITEM_KIND_ACCESORY_NECK,"胸部装飾品"
GAME_ITEM_KIND_ACCESORY_FINGER,"左手飾り"
GAME_ITEM_KIND_ARMOR_UPPER,"上半身防具"
GAME_ITEM_KIND_ARMOR_LOWER,"下半身防具"
GAME_ITEM_KIND_BACKPACK,"背負い袋"
GAME_ITEM_KIND_COAT,"羽織るもの"
GAME_ITEM_KIND_SHOES,"靴"
GAME_ITEM_KIND_SHIELD,"盾"
GAME_ITEM_KIND_ARROW,"弓矢"
GAME_ITEM_KIND_BULLET,"実包"
GAME_ITEM_KIND_SOCKS,"ソックス"
GAME_ITEM_KIND_OVERALLS,"つなぎ"
GAME_ITEM_KIND_SLACKS,"スラックス"
GAME_ITEM_KIND_BOOTS,"ブーツ"
GAME_ITEM_KIND_LONGBOOTS,"ロングブーツ"
GAME_ITEM_KIND_FULLFACE,"フルフェイス"
GAME_ITEM_KIND_ACCESORY_FACE1,"顔装飾品（上）"
GAME_ITEM_KIND_ACCESORY_FACE2,"顔装飾品（下）"
GAME_ITEM_KIND_ONEPIECE,"ワンピース"
GAME_ITEM_KIND_BODYSUIT,"ボディスーツ"
GAME_ITEM_KIND_HALFBOOTS,"ハーフブーツ"
GAME_ITEM_KIND_FACEBODYSUIT,"フェイスボディスーツ"
GAME_ITEM_KIND_COSTUME,"コスチューム"
GAME_ITEM_KIND_EQ_ALLSLOT,"？？？"
GAME_ITEM_KIND_JOINT_SYMBOL,"シンボル"
GAME_ITEM_KIND_EFFECT,"エフェクト"

GAME_ITEM_KIND_PET,"イベントアイテム専用"
GAME_ITEM_KIND_PARTNER,"パートナー"
GAME_ITEM_KIND_BACK_DEMON,"背負い魔"
GAME_ITEM_KIND_RIDE_PET,"イベントアイテム専用"
GAME_ITEM_KIND_RIDE_PET_ROBOT,"２足歩行ロボ専用"
GAME_ITEM_KIND_RIDE_PARTNER,"ライドパートナー"

GAME_ITEM_KIND_SHORT_SWORD,"短剣"
GAME_ITEM_KIND_SWORD,"剣"
GAME_ITEM_KIND_RAPIER,"レイピア	"
GAME_ITEM_KIND_CLAW,"爪"
GAME_ITEM_KIND_KNUCKLE,"ナックル"
GAME_ITEM_KIND_HAMMER,"ハンマー"
GAME_ITEM_KIND_AXE,"斧"
GAME_ITEM_KIND_SPEAR,"槍"
GAME_ITEM_KIND_STAFF,"杖"
GAME_ITEM_KIND_BOW,"弓"
GAME_ITEM_KIND_GUN,"銃"
GAME_ITEM_KIND_DUALGUN,"二丁拳銃"
GAME_ITEM_KIND_RIFLE,"ライフル"
GAME_ITEM_KIND_HANDBAG,"ハンドバッグ"
GAME_ITEM_KIND_LEFT_HANDBAG,"左手用ハンドバッグ"
GAME_ITEM_KIND_BOOK,"本"
GAME_ITEM_KIND_ROPE,"ロープ"
GAME_ITEM_KIND_CARD,"カード"
GAME_ITEM_KIND_THROW,"投擲"	
GAME_ITEM_KIND_WEDDING,"ウェディングドレス"
GAME_ITEM_KIND_STRINGS,"弦楽器"
GAME_ITEM_KIND_DRUM,"打楽器"
GAME_ITEM_KIND_ETC_WEAPON,"他の武器"
GAME_ITEM_KIND_PEACE_WEAPON,"特殊装備品"
GAME_ITEM_KIND_EXSWORD,"特殊武器"
GAME_ITEM_KIND_EXGUN,"特殊武器"

GAME_ITEM_KIND_PEACE_HEAD,"ＤＥＭヘッドパーツ"
GAME_ITEM_KIND_PEACE_BODY,"ＤＥＭボディパーツ"
GAME_ITEM_KIND_PEACE_LEG,"ＤＥＭレッグパーツ"
GAME_ITEM_KIND_PEACE_BACK,"ＤＥＭバックパーツ"
GAME_ITEM_KIND_PEACE_BLOW,"ＤＥＭアームパーツ（叩）"
GAME_ITEM_KIND_PEACE_SLASH,"ＤＥＭアームパーツ（斬）"
GAME_ITEM_KIND_PEACE_STAB,"ＤＥＭアームパーツ（突）"
GAME_ITEM_KIND_PEACE_LONGRANGE,"ＤＥＭアームパーツ（遠距離）"
GAME_ITEM_KIND_PEACE_SETFORM_BLOW,"ＤＥＭセットパーツ（叩）"
GAME_ITEM_KIND_PEACE_SETFORM_SLASH,"ＤＥＭセットパーツ（斬）"
GAME_ITEM_KIND_PEACE_SETFORM_STAB,"ＤＥＭセットパーツ（突）"
GAME_ITEM_KIND_PEACE_SETFORM_LONGRANGE,"ＤＥＭセットパーツ（遠距離）"

GAME_ITEM_KIND_UNION_WEAPON,"パートナー用武器"
GAME_ITEM_KIND_UNION_COSTUME,"パートナー用防具"
GAME_ITEM_KIND_UNION_ACTCUBE,"アクトキューブ"
GAME_ITEM_KIND_UNION_FOOD,"おやつ"

GAME_ITEM_KIND_ANOTHER_PIECE,"アナザーページ紙片"

GAME_ITEM_REMAINTIME,"残り貸出期間"
GAME_ITEMWNDSTR,"の有効期限は"													
GAME_ITEMWNDSTR2,"使用しますか？"
GAME_ITEMWNDSTR3,"です"

GAME_ITEM_CARDSLOT_0,"スロット数"
GAME_ITEM_CARDSLOT_1,"最大スロット数"

GAME_ITEM_CHIP_ICON,"チップブロック形状"
GAME_ITEM_CHIP_KIND,"チップ種別"
GAME_ITEM_CHIP_KINDTYPE0,"ステータスチップ"
GAME_ITEM_CHIP_KINDTYPE1,"スキルチップ"
GAME_ITEM_CHIP_KINDTYPE2,"リミテーションチップ"
GAME_ITEM_CHIP_LV,"装着可能LV"
GAME_ITEM_CHIP_STATUS0,"MAXHP"
GAME_ITEM_CHIP_STATUS1,"MAXMP"
GAME_ITEM_CHIP_STATUS2,"MAXSP"
GAME_ITEM_CHIP_EFFECT,"チップ効果"
GAME_ITEM_ATTRACTIONUNIT_LV,"ユニットレベル"

GAME_ITEM_PARTNER_PETTYPE0,"系統"
GAME_ITEM_PARTNER_PETTYPE1,"装備可能系統"
GAME_ITEM_PARTNER_PETTYPE2,"使用可能系統"
GAME_ITEM_PARTNER_PETKIND0,"種別"
GAME_ITEM_PARTNER_ATKTYPE,"攻撃タイプ"
GAME_ITEM_PARTNER_ATKTYPE0,"汎用"
GAME_ITEM_PARTNER_ATKTYPE1,"叩き"
GAME_ITEM_PARTNER_ATKTYPE2,"斬り"
GAME_ITEM_PARTNER_ATKTYPE3,"突き"
GAME_ITEM_PARTNER_FOOD_HI_RANK,"最大Ｐランク"
GAME_ITEM_PARTNER_FOOD_LOW_RANK,"最小Ｐランク"
GAME_ITEM_PARTNER_FOOD_USETIME,"再使用時間"
GAME_ITEM_PARTNER_FOOD_USETIME_TEXT,"%d 分"
GAME_ITEM_PARTNER_FOOD_EXP,"獲得経験値"
GAME_ITEM_PARTNER_FOOD_TRUSTUP,"信頼度上昇率"
GAME_ITEM_PARTNER_OLD,"パートナー済み"
GAME_ITEM_PARTNER_LEVEL,"パートナーLV"
GAME_ITEM_PARTNER_TRANSTAG,"パートナー転生"
GAME_ITEM_PARTNER_TRANS0,"未転生"
GAME_ITEM_PARTNER_TRANS1,"転生済み"
GAME_ITEM_PARTNER_KIND,"装備可能種別"
GAME_ITEM_PARTNER_KIND_STR_0,"動"
GAME_ITEM_PARTNER_KIND_STR_1,"人"
GAME_ITEM_PARTNER_KIND_STR_2,"虫"
GAME_ITEM_PARTNER_KIND_STR_3,"植"
GAME_ITEM_PARTNER_KIND_STR_4,"背"
GAME_ITEM_PARTNER_KIND_STR_5,"魔"
GAME_ITEM_PARTNER_KIND_STR_6,"鳥"
GAME_ITEM_PARTNER_KIND_STR_7,"魚"
GAME_ITEM_PARTNER_KIND_STR_8,"暗"
GAME_ITEM_PARTNER_KIND_STR_9,"機"
GAME_ITEM_PARTNER_FOOD_RANK0,"H %d"
GAME_ITEM_PARTNER_FOOD_RANK1,"G %d"
GAME_ITEM_PARTNER_FOOD_RANK2,"F %d"
GAME_ITEM_PARTNER_FOOD_RANK3,"E %d"
GAME_ITEM_PARTNER_FOOD_RANK4,"D %d"
GAME_ITEM_PARTNER_FOOD_RANK5,"C %d"
GAME_ITEM_PARTNER_FOOD_RANK6,"B %d"
GAME_ITEM_PARTNER_FOOD_RANK7,"A %d"
GAME_ITEM_PARTNER_FOOD_RANK8,"S %d"
GAME_ITEM_PARTNER_FOOD_RANK9,"SS %d"
GAME_ITEM_PARTNER_FOOD_RANK10,"SSS %d"
