#奈落階層登録チームリストウインドウ
GAME_ABYSSTEAMLIST_TITLE,"奈落階層登録チームリスト"
GAME_ABYSSTEAM_SET_CHATROOM,"作成する"
GAME_ABYSSTEAM_SET_LV_BETWEEN,"～"
GAME_ABYSSTEAM_SET_STC_TEAM,"チーム名"
GAME_ABYSSTEAM_SET_STC_COMMENT,"コメント"
GAME_ABYSSTEAM_SET_STC_PASS,"パスワード（半角英数8文字まで）"
GAME_ABYSSTEAM_SET_STC_RESTART,"ログポイントからのリスタート"
GAME_ABYSSTEAM_SET_STC_CHAT,"チャットルームの作成"
GAME_ABYSSTEAM_SET_STC_DETAIL,"詳細設定"
GAME_ABYSSTEAM_SET_STC_LV,"LV帯"
GAME_ABYSSTEAM_SET_ERR0,"チームの登録に失敗しました"
GAME_ABYSSTEAM_SET_ERR1,"チーム名を設定してください。"
GAME_ABYSSTEAM_SET_OPEN_ERROR-1,"何らかの原因で失敗しました"
GAME_ABYSSTEAM_SET_OPEN_ERROR-2,"既にチームを登録しているため、チーム登録が行えませんでした"
GAME_ABYSSTEAM_SET_OPEN_ERROR-3,"既に他のチームに加入しているため、チーム登録が行えませんでした"
GAME_ABYSSTEAM_SET_OPEN_ERROR-4,"チームの登録数が上限に達しているため、チーム登録が行えませんでした"
GAME_ABYSSTEAM_SET_CREATE_ERROR0,"チームを登録しました"
GAME_ABYSSTEAM_SET_CREATE_ERROR-1,"何らかの原因で失敗しました"
GAME_ABYSSTEAM_SET_CREATE_ERROR-2,"チーム登録数の上限に達しているため、チームを登録することが出来ませんでした"
GAME_ABYSSTEAM_SET_CREATE_ERROR-3,"チーム名を設定してください"

#奈落階層登録チーム詳細条件ウインドウ
GAME_ABYSSTEAM_DETAIL_TITLE,"詳細条件"
GAME_ABYSSTEAM_DETAIL_LV,"LV%d～LV%d"


#奈落階層ランキングウインドウ
GAME_ABYSSRANKING_TITLE,"奈落階層ランキング"
GAME_ABYSSRANKING_SORT_0,"順位"
GAME_ABYSSRANKING_SORT_1,"チームリーダー名"
GAME_ABYSSRANKING_SORT_2,"チーム名"
GAME_ABYSSRANKING_SORT_3,"階層"
GAME_ABYSSRANKING_MAX_FLOOR,"自身の過去最高フロア：%d階"
GAME_ABYSSRANKING_MAX_FLOOR_NO,"自身の過去最高フロア：－"
GAME_ABYSSRANKING_PAGE,"%d/%d"

#奈落階層ミッションウインドウ
GAME_ABYSSMISSION_TITLE,"インフォメーションウィンドウ"
GAME_ABYSSMISSION_INFO_0,"%sの討伐　残り　%d体"
GAME_ABYSSMISSION_INFO_1,"フロア内のモンスターの討伐　残り　%d体"
GAME_ABYSSMISSION_TIME,"フロア内残り時間 %d:%02d"
GAME_ABYSSMISSION_FLOOR,"現在の階層：%d階"

GAME_ABYSSMATTER_GET,"ＡＭ：＋%d"

