# 上位転生
GAME_TRANSMIGWND_HEAD, "頭"
GAME_DVL_PRIVILEGE_FEATHER_5,"Ｅｘ３枚羽"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_0,"デフォルト"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_1,"羽（赤）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_2,"羽（紫）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_3,"羽（青）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_4,"羽（水色）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_5,"羽（緑）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_6,"羽（黄緑）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_7,"羽（黄色）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_8,"羽（橙）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_9,"羽（黒）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_10,"羽（灰）"
GAME_DVL_PRIVILEGE_FEATHERCOLOR_11,"羽（白）"

GAME_CAUTION_STRING,"本当に変更しますか？"

GAME_TRANSMIGADDWND_TITLE, "転生特典を増やす"
GAME_TRANSMIGADDWND_NOW, "現在のページ経験値"
GAME_TRANSMIGADDWND_NEXT, "転生特典を増やすのに$r必要なページ経験値"
GAME_TRANSMIGADDWND_WARNING, "「アナザーブック」が開放されていません。$rイベントナビゲーションの「アナザークロニクル」の$r「アナザークロニクル入手」をクリアしてください。"
GAME_TRANSMIGADDWND_LOW, "ページ経験値が足りません"
GAME_TRANSMIGADDWND_LIST, "増える転生特典の一覧"

GAME_TRANSMIG_REWARD_ERR-1, "何らかの原因で受け取りに失敗しました。"
GAME_TRANSMIG_REWARD_ERR-3, "既に受け取り済みです。"
GAME_TRANSMIG_REWARD_ERR-4, "アイテム所持数に空きがありません。"
GAME_TRANSMIG_REWARD_ERR-5, "アイテムを受け取れない状態です。"


GAME_TRANSMIG_ADD_ERR-1, "何らかの原因で失敗しました。"
GAME_TRANSMIG_ADD_ERR-2, "イベント中は特典を増やすことができません。"
GAME_TRANSMIG_ADD_ERR-3, "ページ経験値が足りません。"
