# 憑依
GAME_POSSESS_TRANS_0,"自分に憑依"
GAME_STATE_77,"武器の闇属性減少"
GAME_STATE_78,"体の無属性上昇"
GAME_STATE_79,"体の火属性上昇"
GAME_STATE_80,"体の水属性上昇"
GAME_STATE_81,"体の風属性上昇"
GAME_STATE_82,"体の土属性上昇"
GAME_STATE_83,"体の光属性上昇"
GAME_STATE_84,"体の闇属性上昇"
GAME_STATE_85,"体の無属性減少"
GAME_STATE_86,"体の火属性減少"
GAME_STATE_87,"体の水属性減少"
GAME_STATE_88,"体の風属性減少"
GAME_STATE_89,"体の土属性減少"
GAME_STATE_90,"体の光属性減少"
GAME_STATE_91,"体の闇属性減少"

# 状態異常(ステータス４)
GAME_STATE_96,"最大HP上昇"
GAME_STATE_97,"最大MP上昇"
GAME_STATE_98,"最大SP上昇"
GAME_STATE_99,"移動力上昇"
GAME_STATE_100,"最小攻撃力上昇"
GAME_STATE_101,"最大攻撃力上昇"
GAME_STATE_102,"最小魔法攻撃力上昇"
GAME_STATE_103,"最大魔法攻撃力上昇"
GAME_STATE_104,"防御率上昇"
GAME_STATE_105,"防御力上昇"
GAME_STATE_106,"魔法防御率上昇"
GAME_STATE_107,"魔法防御力上昇"
GAME_STATE_108,"近距離命中力上昇"
GAME_STATE_109,"遠距離命中力上昇"
GAME_STATE_110,"魔法命中率上昇"
GAME_STATE_111,"近距離回避力上昇"
GAME_STATE_112,"遠距離回避力上昇"
GAME_STATE_113,"魔法抵抗率上昇"
GAME_STATE_114,"クリティカル率上昇"
GAME_STATE_115,"クリティカル回避率上昇"
GAME_STATE_116,"HP回復率上昇"
GAME_STATE_117,"MP回復率上昇"
GAME_STATE_118,"SP回復率上昇"
GAME_STATE_119,"攻撃スピード上昇"
GAME_STATE_120,"詠唱スピード上昇"
GAME_STATE_121,"STR上昇"
GAME_STATE_122,"DEX上昇"
GAME_STATE_123,"INT上昇"
GAME_STATE_124,"VIT上昇"
GAME_STATE_125,"AGI上昇"
GAME_STATE_126,"MAG上昇"

# 状態異常(ステータス５)
GAME_STATE_128,"最大HP減少"
GAME_STATE_129,"最大MP減少"
GAME_STATE_130,"最大SP減少"
GAME_STATE_131,"移動力減少"
GAME_STATE_132,"最小攻撃力減少"
GAME_STATE_133,"最大攻撃力減少"
GAME_STATE_134,"最小魔法攻撃力減少"
GAME_STATE_135,"最大魔法攻撃力減少"
GAME_STATE_136,"防御率減少"
GAME_STATE_137,"防御力減少"
GAME_STATE_138,"魔法防御率減少"
GAME_STATE_139,"魔法防御力減少"
GAME_STATE_140,"近距離命中力減少"
GAME_STATE_141,"遠距離命中力減少"
GAME_STATE_142,"魔法命中率減少"
GAME_STATE_143,"近距離回避力減少"
GAME_STATE_144,"遠距離回避力減少"
GAME_STATE_145,"魔法抵抗率減少"
GAME_STATE_146,"クリティカル率減少"
GAME_STATE_147,"クリティカル回避率減少"
GAME_STATE_148,"HP回復率減少"
GAME_STATE_149,"MP回復率減少"
GAME_STATE_150,"SP回復率減少"
GAME_STATE_151,"攻撃スピード減少"
GAME_STATE_152,"詠唱スピード減少"
GAME_STATE_153,"STR減少"
GAME_STATE_154,"DEX減少"
GAME_STATE_155,"INT減少"
GAME_STATE_156,"VIT減少"
GAME_STATE_157,"AGI減少"
GAME_STATE_158,"MAG減少"

# 状態異常(ステータス６)
GAME_STATE_160,"ゾンビ"
GAME_STATE_161,"リボーン"
GAME_STATE_162,"演奏中"
GAME_STATE_163,"羽交い絞め"
GAME_STATE_164,"光魔法封印"
GAME_STATE_165,"オーバーレンジ"
# 166はライフテイク(サーバーから直接出しているので空文字)
GAME_STATE_166,""
GAME_STATE_167,"恐怖"
GAME_STATE_168,"経験値上昇"
GAME_STATE_169,"パッシング"
GAME_STATE_170,"回復不可"
GAME_STATE_171,"エンチャントブロック"
GAME_STATE_172,"ソリッドボディ"
GAME_STATE_173,"ブラッディウエポン"
GAME_STATE_174,"フレア"
GAME_STATE_175,"ガンディレイキャンセル"
GAME_STATE_176,"ダブルアップ"
GAME_STATE_177,"ATフィールド"
GAME_STATE_178,"根性"
GAME_STATE_179,"物理攻撃不可"
GAME_STATE_180,"死んだふり"
GAME_STATE_181,"精密射撃"
GAME_STATE_182,"オーバーチューン"
GAME_STATE_183,"警戒"
GAME_STATE_184,"リフレクション"
GAME_STATE_185,"エンチャントウエポン"
GAME_STATE_186,"オラトリオ"
GAME_STATE_187,"イビルソウル"
GAME_STATE_188,"フレイムハート"
GAME_STATE_189,"アトラクトマーチ"


# 状態異常(ステータス７)
GAME_STATE_190,"アクロバットイベイジョン"
GAME_STATE_191,"オーバーワーク"
GAME_STATE_192,"ディレイキャンセル"
GAME_STATE_193,"フェニックス"
GAME_STATE_194,"チャンプモンスターキラー"
GAME_STATE_195,"竜眼開放"
GAME_STATE_196,"温泉効果"
GAME_STATE_197,"武器属性無効化"
GAME_STATE_198,"防御属性無効化"
GAME_STATE_199,"ブロウディレイキャンセル"
GAME_STATE_200,"スラッシュディレイキャンセル"
GAME_STATE_201,"スティングディレイキャンセル"
GAME_STATE_202,"バレットディレイキャンセル"

GAME_STATE_203,"スペシャルアビリティ"
GAME_STATE_204,"HPコミュニオン"
GAME_STATE_205,"MPコミュニオン"
GAME_STATE_206,"SPコミュニオン"
GAME_STATE_207,"ATKコミュニオン"
GAME_STATE_208,"MATKコミュニオン"
GAME_STATE_209,"DEFコミュニオン"
GAME_STATE_210,"MDEFコミュニオン"
GAME_STATE_211,"HITコミュニオン"
GAME_STATE_212,"AVOIDコミュニオン"
GAME_STATE_213,"CSPDコミュニオン"
GAME_STATE_214,"PAYLコミュニオン"
GAME_STATE_215,"CAPAコミュニオン"
GAME_STATE_216,"ハーヴェスト(HP吸収)"

# 状態異常(ステータス８)
GAME_STATE_217,"ライフリターン"
GAME_STATE_218,"マジックリターン"
GAME_STATE_219,"スタミナリターン"
GAME_STATE_220,"HP吸収"
GAME_STATE_221,"MP吸収"
GAME_STATE_222,"SP吸収"
GAME_STATE_223,"エクヴィリー"
GAME_STATE_224,"クイックシュート"
GAME_STATE_225,"エフィカス"
GAME_STATE_226,"コラプス・オブ・ロウ"
GAME_STATE_227,"トランスボディ"
GAME_STATE_228,"リメインエレメント"
GAME_STATE_229,"マシン攻撃力上昇"
GAME_STATE_230,"マシン攻撃力減少"
GAME_STATE_231,"マテリアルバインド"
GAME_STATE_232,"ダメージマーキング"
GAME_STATE_233,"スピリットマーキング"
GAME_STATE_234,"ジョーカーディレイキャンセル"
GAME_STATE_235,"ダメージチャージ"
GAME_STATE_236,"黒薔薇の棘"
GAME_STATE_237,"鬼人の構え"
GAME_STATE_238,"イージス"
GAME_STATE_239,"トランスシール"
GAME_STATE_240,"アンプリーエレメント"
GAME_STATE_241,"マシン防御力上昇"
GAME_STATE_242,"マシン防御力減少"
GAME_STATE_243,"スキル封じ"
GAME_STATE_244,"クリティカルマーキング"
GAME_STATE_245,"ソウルプロテクト"
GAME_STATE_246,"見切り"
GAME_STATE_247,"バリアシールド"
GAME_STATE_248,"幽玄の契約：剣"

# 状態異常(ステータス９)
GAME_STATE_249,"マシン攻撃速度上昇"
GAME_STATE_250,"マシン攻撃速度減少"
GAME_STATE_251,"ウィークネスショット"
GAME_STATE_252,"移動速度上昇"
GAME_STATE_253,"移動速度上昇"
GAME_STATE_254,"ウエポンエンハンス"
GAME_STATE_255,"レトリック"
GAME_STATE_256,"「師匠の加護」を受けた"
GAME_STATE_257,"モンスターチェンジ"
GAME_STATE_258,"知識の書"
GAME_STATE_259,"植物寄生"
GAME_STATE_260,"パクティオ"
GAME_STATE_261,"アドバンスアビリティー"
GAME_STATE_262,"フェンリル"
GAME_STATE_263,"ブロッキング"
GAME_STATE_264,"釣り"
GAME_STATE_265,"サーチウィークポイント"
GAME_STATE_267,"アートフルトラップ"
GAME_STATE_268,"マシン能力低下"
GAME_STATE_269,"狂気毒"
GAME_STATE_270,"フィットアロー"
GAME_STATE_271,"全軍突撃"
GAME_STATE_272,"流水の構え"
GAME_STATE_273,"ウィスプオーラ"
GAME_STATE_274,"むて～き"
GAME_STATE_275,"アナザークロニクル"
GAME_STATE_276,"追撃"
GAME_STATE_277,"EXフレア"

# 状態異常(ステータス６の続き)
GAME_STATE_278,"ライフテイク"
# 状態異常(ステータス７の続き)
GAME_STATE_279,"スタミナテイク"

# 状態異常(ステータス９の続き)
GAME_STATE_280,"マジックテイク"
GAME_STATE_281,"ダメージアヴォイド"
GAME_STATE_282,"アルケミータイム"

# 状態異常(ステータス10)
GAME_STATE_283,"アルス・マグナ"
GAME_STATE_284,"精密攻撃"
GAME_STATE_285,"悪炎"
GAME_STATE_286,"九尾狐の魅了"
GAME_STATE_287,"武装化"
GAME_STATE_288,"武装化の反動"
GAME_STATE_289,"モルガナハーツ"
GAME_STATE_290,"耐える"
GAME_STATE_291,"追い討ちの極意"
GAME_STATE_292,"友情の一撃（経験値上昇）"
GAME_STATE_293,"経験値上昇"
GAME_STATE_294,"被クリティカルダメージ軽減率上昇"
GAME_STATE_295,"怒り"
GAME_STATE_296,"HP、MP、SP自動回復"
GAME_STATE_297,"ユニークカウンター"
GAME_STATE_298,"叩き攻撃耐性弱体化"
GAME_STATE_299,"斬り攻撃耐性弱体化"
GAME_STATE_300,""
GAME_STATE_301,""
GAME_STATE_302,""
GAME_STATE_303,""
GAME_STATE_304,"マガマガシイオーラ"
GAME_STATE_305,""
GAME_STATE_306,"被火属性ダメージ軽減率上昇"
GAME_STATE_307,""
GAME_STATE_308,""
GAME_STATE_309,""
GAME_STATE_310,"被光属性ダメージ軽減率上昇"
GAME_STATE_311,"被闇属性ダメージ軽減率上昇"
GAME_STATE_312,"攻撃ダメージ上昇"
GAME_STATE_313,"被魔法ダメージ軽減率上昇"
GAME_STATE_314,"ダメージミラー"
GAME_STATE_315,"変異"
GAME_STATE_316,"物理防御力無視"
GAME_STATE_317,"雷雲"
GAME_STATE_318,"雷神の加護"
GAME_STATE_319,""
GAME_STATE_320,""
GAME_STATE_321,""
GAME_STATE_322,""
GAME_STATE_323,"消費MP、SP軽減"
GAME_STATE_324,"桜花爛漫"
GAME_STATE_325,"ディレイ増加"
GAME_STATE_326,"闇属性ダメージ倍率上昇"
GAME_STATE_327,"光属性ダメージ倍率上昇"
GAME_STATE_328,"愛の守護戦士"
GAME_STATE_329,"愛のおすそわけ"
GAME_STATE_330,"メロメロ"
GAME_STATE_331,"愛のオーラ"
