#パートナー
GAME_PARTNER_ANNOUNCE_EXP_TRUST_TAG0,"パートナーが経験値 %lld、"
GAME_AICUSTOMSETTINGWND_TARGET1,"主人に"
GAME_AICUSTOMSETTINGWND_TARGET2,"自分に"
GAME_AICUSTOMSETTINGWND_TARGET3,"敵に"
GAME_AICUSTOMSETTINGWND_TARGET4,"仲間に"
GAME_AICUSTOMSETTINGWND_OPEN_ERR,"マシナファーム時にAIカスタム設定ウィンドウを開く事は出来ません"
GAME_AICUSTOMSETTINGWND_TARGET_WARNING,"対象設定が正しくないため正常に発動しないスキルがあります。$rよろしいですか？"

#簡単AI設定ウィンドウ
GAME_SIMPLEAISETTINGWND_TITTLE,"かんたんAI設定"
GAME_SIMPLEAISETTINGWND_TYPE0,"攻撃重視"
GAME_SIMPLEAISETTINGWND_TYPE1,"主人重視"
GAME_SIMPLEAISETTINGWND_TYPE2,"追従"
GAME_SIMPLEAISETTINGWND_TYPE3,"カスタム"
GAME_SIMPLEAISETTINGWND_DETAIL0,"攻撃重視AIとは、$r一番近くに居るモンスターに$r攻撃スキルを優先して攻撃します。"
GAME_SIMPLEAISETTINGWND_DETAIL1,"主人重視 AI とは、$r主人がモンスターに攻撃されるまで$rまたは、自分がモンスターに$r攻撃されるまで$r行動を起こしません。$r$rパートナープロテクト中は、$r防御重視と同じ思考に変化します。"
GAME_SIMPLEAISETTINGWND_DETAIL2,"追従AIとは、$r攻撃も支援も行わず、ユーザーに$r付いてきます。$r$rパートナープロテクト中は、$r攻撃も支援も行わずに$rその場に待機する思考に変化します。"
GAME_SIMPLEAISETTINGWND_DETAIL3,"カスタムAIとは、$r「AIカスタム設定ウィンドウ」で$r設定した思考の行動を行います。"
GAME_SIMPLEAISETTINGWND_AISET0,"AIを攻撃重視に変更しました"
GAME_SIMPLEAISETTINGWND_AISET1,"AIを主人重視に変更しました"
GAME_SIMPLEAISETTINGWND_AISET2,"AIを追従に変更しました"
GAME_SIMPLEAISETTINGWND_AISET3,"AIをカスタム①に変更しました"
GAME_SIMPLEAISETTINGWND_AISET4,"AIをカスタム②に変更しました"
GAME_SIMPLEAISETTINGWND_AISET_ERR,"AI変更中の為、失敗しました"
GAME_SIMPLEAISETTINGWND_BALOON0,"攻撃重視"
GAME_SIMPLEAISETTINGWND_BALOON1,"主人重視"
GAME_SIMPLEAISETTINGWND_BALOON2,"追従"
GAME_SIMPLEAISETTINGWND_BALOON3,"カスタム①"
GAME_SIMPLEAISETTINGWND_BALOON4,"カスタム②"
GAME_SIMPLEAISETTINGWND_OPEN_ERR,"マシナファーム時にかんたんAI設定ウィンドウを開く事は出来ません"

#アクトキューブ情報ウィンドウ
GAME_ACTCUBEINFOWND_TITTLE,"アクトキューブ情報"
GAME_ACTCUBEINFOWND_TAB0,"アクトキューブの基本的な情報を表示します"
GAME_ACTCUBEINFOWND_TAB1,"アクトキューブのスキル情報を表示します"
GAME_ACTCUBEINFOWND_ACTTYPE,"アクトキューブ種別"
GAME_ACTCUBEINFOWND_EQUIP_TRUST,"装備可能信頼度"
GAME_ACTCUBEINFOWND_EQUIP_TRANSNUM,"装備可能ペット時転生回数"
GAME_ACTCUBEINFOWND_EQUIP_STATE,"装備可能状態"
GAME_ACTCUBEINFOWND_ACTTYPE0,"条件"
GAME_ACTCUBEINFOWND_ACTTYPE1,"行動"
GAME_ACTCUBEINFOWND_ACTTYPE2,"アクティブスキル"
GAME_ACTCUBEINFOWND_ACTTYPE3,"パッシブスキル"
GAME_ACTCUBEINFOWND_EQUIP_TRUST0,"黒以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST1,"紫以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST2,"青以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST3,"水色以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST4,"緑以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST5,"黄緑以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST6,"黄色以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST7,"橙以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST8,"赤以上"
GAME_ACTCUBEINFOWND_EQUIP_TRUST9,"桃以上"
GAME_ACTCUBEINFOWND_SKILL_USE_MP,"使用ＭＰ"
GAME_ACTCUBEINFOWND_SKILL_USE_SP,"使用ＳＰ"
GAME_ACTCUBEINFOWND_SKILL_TARGET,"目標"
GAME_ACTCUBEINFOWND_SKILL_RANGE,"射程"
GAME_ACTCUBEINFOWND_LOST_BTN,"忘れる"
GAME_ACTCUBEINFOWND_LOST_LOG,"アクトキューブ[%s]を忘れました"
GAME_ACTCUBEINFOWND_LOST_LOG_NONE,"アクトキューブを忘れました"
GAME_ACTCUBEINFOWND_LOST_LOG_ERR-1,"アクトキューブを忘れる事が出来ませんでした"
GAME_ACTCUBEINFOWND_LOST_LOG_ERR-2,"指定したパートナーでは無い為、忘れる事が出来ません"
GAME_ACTCUBEINFOWND_LOST_LOG_ERR-3,"ライドパートナーの為、忘れる事が出来ませんでした"
GAME_ACTCUBEINFOWND_CONFIRM,"[%s]を$r忘れますが、宜しいですか？"
GAME_ACTCUBEINFOWND_AGAINCONFIRM,"選択しているアクトキューブは消滅してしまいますが$r本当によろしいですか？$r※同じアクトキューブを入手すれば$r　再度覚えることは可能です。"

#元パートナーをドロップ時の警告
GAME_PARTNER_DROP_CONFIRMMSGBOX0,"%sの$rパートナーとしての情報は失われますが、よろしいですか？"
GAME_PARTNER_DROP_CONFIRMMSGBOX1,"再度同じパートナーを入手して$rパートナー化した場合でも$r初期状態からになりますが$r本当によろしいですか？"
#パートナーの食事が出来るようになった時のメッセージ
GAME_PARTNER_MEAL,"%sが食事できるようになりました"
GAME_PARTNER_MEAL_AUTO,"自動で食事する設定の為、食事を行います"
GAME_PARTNER_MEAL_NOSET,"「おやつ」がセットされていません"
GAME_PARTNER_MEAL_NOUSE,"現在装備中のパートナーが使える「おやつ」がセットされていません"
GAME_PARTNER_MEAL_ERR-1,"食事を行えるタイミングではありませんでした"
GAME_PARTNER_MEAL_ERR-2,"空腹状態ではない為、食事を行えませんでした"
GAME_PARTNER_MEAL_ERR-3,"アイテムを使用できない状態の為、食事を行えませんでした"
#自動消費パートナーフード登録変更エラー
GAME_PARTNER_AUTOFOOD_CHG_ERR-1,"登録変更が出来ませんでした"
GAME_PARTNER_AUTOFOOD_CHG_ERR-2,"登録数の上限を超える為、登録が出来ませんでした"
GAME_PARTNER_AUTOFOOD_CHG_ERR-3,"登録しているアイテムと重複する為、登録変更が出来ませんでした"
GAME_PARTNER_AUTOFOOD_CHG_ERR-4,"登録されていないアイテムになります"


#パートナー装備
GAME_PARTNER_EQUIP_ERR-1,"対象のパートナーが見つかりません"
GAME_PARTNER_EQUIP_ERR-2,"対象のアイテムを所持しておりません"
GAME_PARTNER_EQUIP_ERR-3,"パートナー用装備アイテムではありません"
GAME_PARTNER_EQUIP_ERR-4,"行動不能状態の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-5,"イベント中の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-6,"ゴーレムショップ設定中の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-7,"トレード中の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-8,"未鑑定の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-9,"憑依中の為、装備の変更は出来ません"
GAME_PARTNER_EQUIP_ERR-10,"マシナフォーム中の為、装備出来ません"
GAME_PARTNER_EQUIP_ERR-11,"装備できる状態ではありません"
GAME_PARTNER_EQUIP_ERR-12,"装備解除できる状態ではありません"
GAME_PARTNER_EQUIP_ERR-13,"レベルが足りません"
GAME_PARTNER_EQUIP_ERR-14,"装備可能な攻撃タイプではありません"
GAME_PARTNER_EQUIP_ERR-15,"装備可能な系統ではありません"
GAME_PARTNER_EQUIP_ERR-16,"ライドパートナーは装備できません"
GAME_PARTNER_EQUIP_ERR-17,"パートナーランクが足りません"
