# システムウィンドウ
GAME_SYS_TITLE,"システム"
GAME_SYS_RENDER1_6,"マップオブジェクトの描画範囲"
GAME_SYS_RENDER1_7,"キャラクターの描画範囲"
GAME_SYS_RENDER1_8,"エフェクトの描画"
GAME_SYS_RENDER1_9,"ミニマップウィンドウの透明度"
GAME_SYS_RENDER1_10,"アウトラインの描画"
GAME_SYS_RENDER1_11,"アンチエイリアスの適用"
GAME_SYS_RENDER1_12,"Skin"

GAME_SYS_RENDER2_0,"吹き出しの表示"
GAME_SYS_RENDER2_1,"吹き出しの表示時間"
GAME_SYS_RENDER2_2,"バルーンヘルプの表示"
GAME_SYS_RENDER2_3,"名前表示"
GAME_SYS_RENDER2_4,"HPバー"
GAME_SYS_RENDER2_5,"ゴーレムショップのコメント吹き出し"
GAME_SYS_RENDER2_6,"キャラクターの看板のコメント吹き出し"
GAME_SYS_RENDER2_7,"オブジェの看板のコメント吹き出し"
GAME_SYS_RENDER2_8,"プレーヤー露店のコメント吹き出し"
GAME_SYS_RENDER2_9,"自分のHPバー"
GAME_SYS_RENDER2_10,"自分のMPバー"
GAME_SYS_RENDER2_11,"自分のSPバー"
GAME_SYS_RENDER2_12,"バー表示位置"
GAME_SYS_RENDER2_13,"モンスターのHPバー表示"

GAME_SYS_RENDER3_0,"ゴーレム表示"
GAME_SYS_RENDER3_1,"ログウィンドウのフォントサイズ"
GAME_SYS_RENDER3_2,"プレーヤー露店のアイコン表示"
GAME_SYS_RENDER3_3,"リングエンブレムの表示"
GAME_SYS_RENDER3_4,"所属グループ名の表示"
GAME_SYS_RENDER3_6,"FPS制限"
GAME_SYS_RENDER3_7,"ミップマップ"
GAME_SYS_RENDER3_8,"ソフトウェアカーソル"
GAME_SYS_RENDER3_9,"飛空庭のひも表示"
GAME_SYS_RENDER3_10,"画面のゆれ"
GAME_SYS_RENDER3_11,"常に武器を表示"
GAME_SYS_RENDER3_12,"試着ボタンを表示"
GAME_SYS_RENDER3_13,"称号を表示"

GAME_SYS_RENDER4_0,"画面全体のゆがみ効果"
GAME_SYS_RENDER4_1,"自分のEPバー"
GAME_SYS_RENDER4_2,"イベントナビゲーション"
GAME_SYS_RENDER4_3,"NPCグラフィックの表示"
GAME_SYS_RENDER4_4,"会話ウィンドウの変更"
GAME_SYS_RENDER4_5,"UIタイプの変更"
GAME_SYS_RENDER4_6,"装備時のかんたんAI設定ウィンドウの表示"
GAME_SYS_RENDER4_7,"簡易モデル表示"
GAME_SYS_RENDER4_8,""
GAME_SYS_RENDER4_9_0,"フォントの選択(10)"
GAME_SYS_RENDER4_9_0a,"アンチエイリアス(10)"
GAME_SYS_RENDER4_9_1,"フォントの選択(12)"
GAME_SYS_RENDER4_9_1a,"アンチエイリアス(12)"
GAME_SYS_RENDER4_9_2,"フォントの選択(14)"
GAME_SYS_RENDER4_9_2a,"アンチエイリアス(14)"
GAME_SYS_RENDER4_9_3,"フォントの選択(16)"
GAME_SYS_RENDER4_9_3a,"アンチエイリアス(16)"
GAME_SYS_RENDER4_10,"溶け込み"
GAME_SYS_RENDER4_11,"ローディングモデル表示"
GAME_SYS_RENDER4_12,"パートナーのセリフを吹き出しに表示"
GAME_SYS_RENDER4_13,"パートナーのセリフをログに表示"
GAME_SYS_RENDER4_14,"ダメージ関係の数値をログに表示"
GAME_SYS_RENDER4_15,"バックグラウンドローディング"
GAME_SYS_RENDER4_16,"憑依中のパートナーを表示"
GAME_SYS_RENDER4_17,"憑依中のパートナーの経験値情報をログに表示"
GAME_SYS_RENDER4_18,"エモーションのプレビューを再生"

GAME_SYS_CTRL_0,"ターゲットロック"
GAME_SYS_CTRL_1,"カメラ操作"
GAME_SYS_CTRL_2,"カメラリセット"
GAME_SYS_CTRL_3,"ウィスパー受信の自動切り換え"
GAME_SYS_CTRL_4,"ウィンドウスナップ"
GAME_SYS_CTRL_5,"自動移動ロック"
GAME_SYS_CTRL_6,"マウスのスナップ"
GAME_SYS_CTRL_7,"ウィンドウ位置デフォルト"
GAME_SYS_CTRL_8,"情報ウィンドウ表示位置"
GAME_SYS_CTRL_9,"情報ウィンドウ表示対象"
GAME_SYS_CTRL_10,"合成系スキル対象を常に自身にする"
GAME_SYS_CTRL_11,"従来のカメラモード"
GAME_SYS_CTRL_12,"アイテムドロップ確認"
GAME_SYS_CTRL_13,"エンシェントアークの会話をログに表示"
GAME_SYS_CTRL_14,"Ctrl + C を文字列のコピーに割り当てる"
GAME_SYS_CTRL_15,"Ctrl + X を文字列の切り取りに割り当てる"
GAME_SYS_CTRL_16,"憑依ドロップアイテム右クリックで詳細を開く"
GAME_SYS_CTRL_17,"常に最新の会話を表示する"
GAME_SYS_CTRL_18,"会話非表示中に会話が追加された時自動で表示する"
GAME_SYS_CTRL_20,"飛空庭の家具の当たり判定を有効にする"

GAME_SYS_CTRL2_0,"パーティーの情報ウィンドウを表示"
GAME_SYS_CTRL2_1,"チャットルームウィンドウを自動的に開く"
GAME_SYS_CTRL2_2,"エクストラアイテムの維持利用確認"
GAME_SYS_CTRL2_3,"職業チャットログ出力"
GAME_SYS_CTRL2_4,"マップチェンジ後のカメラ位置"

GAME_SYS_SND_0,"SE"
GAME_SYS_SND_1,"BGM"
GAME_SYS_SND_2,"SEボリューム"
GAME_SYS_SND_3,"BGMボリューム"
GAME_SYS_SND_4,"音声"
GAME_SYS_SND_5,"音声ボリューム"

GAME_SYS_SNS_0,"Twitter連携"
GAME_SYS_SNS_1,"Twitter投稿時に注意文言を表示"
GAME_SYS_SNS_2,"Twitter連携SS撮影時の表示/非表示の項目"
GAME_SYS_SNS_3,"  自分のキャラクター名"
GAME_SYS_SNS_4,"  各種チャット吹き出し"
GAME_SYS_SNS_5,"  露店コメント吹き出し"
GAME_SYS_SNS_6,"  ゴーレムショップコメント吹き出し"
GAME_SYS_SNS_7,"  看板コメント吹き出し"
GAME_SYS_SNS_8,"  リングエンブレム"
GAME_SYS_SNS_9,"  各種ウィンドウ"
GAME_SYS_SNS_10,"動画撮影"

GAME_SYS_CANT_MODIFY_RESOLVE_IN_THEATER,"シアター内では解像度・アンチエイリアスの変更はできません"

GAME_SYS_TIP_D_0_0,"ゲーム画面を全体表示、ウィンドウ内表示に切り替えます。"
GAME_SYS_TIP_D_0_1,"ゲーム画面の大きさの設定です。$r色数の指定はフルスクリーン時のみ選択出来ます。"
GAME_SYS_TIP_D_0_2,"非アクティブウィンドウの透明度の設定です。"
GAME_SYS_TIP_D_0_3,"アクティブウィンドウの透明度の設定です。"
GAME_SYS_TIP_D_0_4,"キャラクターやNPCの下に描画される影の設定です。$r処理が重い時は「無し」にして下さい。"
GAME_SYS_TIP_D_0_5,"キャラクターやNPCの下に描画される影の範囲の設定です。$r処理が重い時は範囲を狭めて下さい。"
GAME_SYS_TIP_D_0_6,"建物や地形の描画範囲の設定です。$r処理が重い時は範囲を狭めて下さい。"
GAME_SYS_TIP_D_0_7,"キャラクターやNPCの描画範囲の設定です。$r処理が重い時は範囲を狭めて下さい。"
GAME_SYS_TIP_D_0_8,"エフェクトの表示設定です。$r処理が重いときは「最小」にして下さい。"
GAME_SYS_TIP_D_0_9,"ミニマップの透明度の設定です。"
GAME_SYS_TIP_D_0_10,"キャラクターの輪郭線の表示・非表示の切り替えです。$r処理が重い時は「OFF」にして下さい。"
GAME_SYS_TIP_D_0_11,"ゲーム画面を滑らかに見せる処理の切り替えです。$r「最適」が一番処理は重いですが綺麗に見えます。$r処理が重いときは「無し」にして下さい。"
GAME_SYS_TIP_D_0_12,"Skinの変更を行います。"
GAME_SYS_TIP_D_1_0,"キャラクターや敵の発言時に出る吹き出しの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_1,"キャラクターや敵の発言時に出る吹き出しの表示時間の設定です。"
GAME_SYS_TIP_D_1_2,"カーソルを特定の場所に合わせた時に出る、説明文の表示・非表示の設定です。"
GAME_SYS_TIP_D_1_3,"キャラクターやNPCの名前の表示方法の設定です。"
GAME_SYS_TIP_D_1_4,"キャラクターに表示されるバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_5,"ゴーレムショップにカーソルを合わせた時に出す$rコメントの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_6,"キャラクターの看板のコメント表示・非表示設定です。"
GAME_SYS_TIP_D_1_7,"オブジェクトの看板のコメント表示・非表示設定です。"
GAME_SYS_TIP_D_1_8,"プレーヤー露店の吹き出しの表示・非表示設定です。"
GAME_SYS_TIP_D_1_9,"自分のキャラクターに表示されるHPバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_10,"自分のキャラクターに表示されるMPバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_11,"自分のキャラクターに表示されるSPバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_1_12,"キャラクターの頭の上に表示されるHP,MP,SP,EPバーの表示位置設定です。"
GAME_SYS_TIP_D_1_13,"モンスターに表示されるバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_2_0,"ゴーレムの表示の設定です。"
GAME_SYS_TIP_D_2_1,"ログウィンドウのフォントのサイズを変更します。"
GAME_SYS_TIP_D_2_2,"プレーヤー露店のアイコン表示・非表示の設定です。"
GAME_SYS_TIP_D_2_3,"リングエンブレムの表示の設定です。"
GAME_SYS_TIP_D_2_4,"パーティー名、リング名の表示の設定です。"
GAME_SYS_TIP_D_2_5,"パートナーの発言のログ出力の設定です。"
GAME_SYS_TIP_D_2_6,"処理速度に余裕がある場合CPU負荷を軽くすることができます。"
GAME_SYS_TIP_D_2_7,"遠くのポリゴンのチラつきを防ぎます。"
GAME_SYS_TIP_D_2_8,"カーソルの更新頻度を下げて処理を軽くすることができます。"
GAME_SYS_TIP_D_2_9,"飛空庭のひもの表示の設定です。非表示にしても$r自分のキャラクターのひもは必ず表示されます。"
GAME_SYS_TIP_D_2_10,"スキル等のエフェクトによる画面のゆれを無効にします。"
GAME_SYS_TIP_D_2_11,"非戦闘状態でも武器を表示するようにします。"
GAME_SYS_TIP_D_2_12,"NPC、ゴーレム、プレーヤー露店の試着ボタンの表示・非表示を設定します。"
GAME_SYS_TIP_D_2_13,"称号の表示の設定です。"
GAME_SYS_TIP_D_3_0,"画面全体をゆがませる効果の設定です。"
GAME_SYS_TIP_D_3_1,"自分のキャラクターに表示されるEPバーの表示・非表示の設定です。"
GAME_SYS_TIP_D_3_2,"イベントナビゲーションマーカーの設定です。"
GAME_SYS_TIP_D_3_3,"NPCに話しかけた時に表示される画像の表示・非表示の設定です。"
GAME_SYS_TIP_D_3_4,"会話ウィンドウのフレームの設定です。"
GAME_SYS_TIP_D_3_5,"UIレイアウトの設定です。"
GAME_SYS_TIP_D_3_6,"パートナー装備した時、かんたんAI設定の表示・非表示の設定です。"
GAME_SYS_TIP_D_3_7,"キャラクターモデルの簡易表示の設定です。"
GAME_SYS_TIP_D_3_8,""
GAME_SYS_TIP_D_3_9,""
GAME_SYS_TIP_D_3_10,""
GAME_SYS_TIP_D_3_11,"ローディング時モデル表示の設定です。"
GAME_SYS_TIP_D_3_12,"パートナーの発言時に出る吹き出しの表示・非表示の設定です。"
GAME_SYS_TIP_D_3_13,"パートナーの発言のログウィンドウへの表示・非表示の設定です。"
GAME_SYS_TIP_D_3_14,"ダメージ関係の数値をログに表示"
GAME_SYS_TIP_D_3_15,"バックグラウンドローディング機能の設定です。"
GAME_SYS_TIP_D_3_16,"憑依中のパートナーの表示・非表示の設定です。"
GAME_SYS_TIP_D_3_17,"憑依中のパートナーの取得した経験値と信頼度ログの表示・非表示の設定です。"
GAME_SYS_TIP_D_3_18,"エモーションアイコンにカーソルを合わせた際、プレビューを再生します。"


GAME_SYS_TIP_O_0_0,"戦闘時、自動的に攻撃させる設定です。$r「シングルクリック」は一回のクリックで自動戦闘に切り替わるようになります。"
GAME_SYS_TIP_O_0_1,"右クリック時のカメラの動き方の設定です。$r「A」は右クリックして動かした分のみカメラを動かします。$r「B」は右クリックしている間カメラを動かし続けます。"
GAME_SYS_TIP_O_0_2,"マウスの右をダブルクリックした時のカメラの向きを設定します。"
GAME_SYS_TIP_O_0_3,"メッセージ受信時に自動的に別ウィンドウを作成するか、ログウィンドウに表示するかの設定です。$r入力欄にて「ウ」を押してから$r名前[半角スペース]メッセージ$rでも送信出来ます。"
GAME_SYS_TIP_O_0_4,"ウィンドウの配置を補助する設定です。"
GAME_SYS_TIP_O_0_5,"左クリックを一定時間押した時、キャラクターを自動移動に切り替える設定です。"
GAME_SYS_TIP_O_0_6,"キャラクターやNPCにカーソルを合わせやすくする設定です。$rShiftキーを押すと一時的に解除されます。"
GAME_SYS_TIP_O_0_7,"ウィンドウの表示位置を初期位置に戻します。"
GAME_SYS_TIP_O_0_8,"情報ウィンドウの表示位置を切り替えます。"
GAME_SYS_TIP_O_0_9,"情報ウィンドウを表示する対象を設定します。"
GAME_SYS_TIP_O_0_10,"合成系のスキルを必ず自分に対して使用するか$r対象を選択するかの設定です。"
GAME_SYS_TIP_O_0_11,"視点解除マップにおいて従来と同じカメラモードにします。"
GAME_SYS_TIP_O_0_12,"所持アイテムを地面に置くときに確認メッセージを出します。$r飛空庭では必ず確認メッセージが出ます。"
GAME_SYS_TIP_O_0_13,"エンシェントアークにおいて、NPC会話のログウィンドウへの表示・非表示の設定です。"
GAME_SYS_TIP_O_0_14,"Ctrl + C で選択中の文字列をコピーできるようにします。"
GAME_SYS_TIP_O_0_15,"Ctrl + X で選択中の文字列を切り取りできるようにします。"
GAME_SYS_TIP_O_0_16,"憑依ドロップアイテムを右クリック時にアイテム情報ウィンドウと憑依情報ウィンドウを表示する機能設定です。"
GAME_SYS_TIP_O_0_17,"エンシェントアークにおいて、常に最新のNPC会話を表示するようにします。"
GAME_SYS_TIP_O_0_18,"エンシェントアークにおいて、NPC会話ウインドウ非表示中に会話が追加された時、会話ウインドウを自動で表示するようにします"
GAME_SYS_TIP_O_0_20,"飛空庭に家具を配置する際、家具同士の当たり判定を有効にします"

GAME_SYS_TIP_O_1_0,"パーティーメンバーの情報ウィンドウを自動的に開く設定です。"
GAME_SYS_TIP_O_1_1,"チャットルームに入室した時とチャットルーム発言を受け取った時、$r自動的にチャットルームウィンドウを開きます。"
GAME_SYS_TIP_O_1_2,"使用中のエクストラアイテムの効果が切れた場合、維持して購入、利用するかを確認するウィンドウが表示されます。"
GAME_SYS_TIP_O_1_3,"職業チャットのログをchat2フォルダに保存する・しないを設定します。"
GAME_SYS_TIP_O_1_4,"特定のマップチェンジ後、カメラ位置がキャラクターの正面になります。"

GAME_SYS_TIP_S_0_0,"サウンドエフェクトのON・OFFです。"
GAME_SYS_TIP_S_0_1,"バックグラウンドミュージックのON・OFFです。"
GAME_SYS_TIP_S_0_2,"サウンドエフェクトの音量の設定です。"
GAME_SYS_TIP_S_0_3,"バックグラウンドミュージックの音量の設定です。"
GAME_SYS_TIP_S_0_4,"音声のON・OFFです。"
GAME_SYS_TIP_S_0_5,"音声の音量の設定です。"

GAME_SYS_TIP_SNS_0_0,"SNS連携を有効にします。"
GAME_SYS_TIP_SNS_0_1,"SNS投稿ウインドウを開く際に注意文を表示します。"
GAME_SYS_TIP_SNS_0_2,"連携有効時のSSに表示する項目を設定します。"
GAME_SYS_TIP_SNS_0_3,"自身のキャラクター名を表示します。"
GAME_SYS_TIP_SNS_0_4,"各種チャットを表示します。"
GAME_SYS_TIP_SNS_0_5,"露店コメントを表示します。"
GAME_SYS_TIP_SNS_0_6,"ゴーレムショップコメントを表示します。"
GAME_SYS_TIP_SNS_0_7,"看板コメントを表示します。"
GAME_SYS_TIP_SNS_0_8,"リングエンブレムを表示します。"
GAME_SYS_TIP_SNS_0_9,"各種ウインドウを表示します。"
GAME_SYS_TIP_SNS_0_10,"動画撮影機能を有効にします。"
