# $r で改行。" は入力できない、理由はスペースに意味のある文字列があるので
# わかりやすくするため。
# excel で編集すると " が消えてしまう為 excel で編集しないこと。

# クライアントデータのコードページ番号
CLIENT_DATA_CODE_PAGE,"932"
GAME_RACE_HUMAN,"エミル"
GAME_RACE_ANGEL,"タイタニア"
GAME_RACE_DEVIL,"ドミニオン"
GAME_RACE_DEM,"ＤＥＭ"
GAME_RACE_HIHUMAN,"ハイエミル"
GAME_RACE_ARCANGEL,"アークタイタニア"
GAME_RACE_HIDEVIL,"イクスドミニオン"

GAME_JOB_DEM,"ＤＥＭ"

GAME_JOB_NOVICE,"ノービス"
GAME_JOB_JOKER,"ジョーカー"

GAME_JOB_SWORDMAN,"ソードマン"
GAME_JOB_BLADEMASTER,"ブレイドマスター"
GAME_JOB_BOUNTYHUNTER,"バウンティハンター"
GAME_JOB_GLADIATOR,"グラディエイター"

GAME_JOB_FENCER,"フェンサー"
GAME_JOB_KNIGHT,"ナイト"
GAME_JOB_DARKSTALKER,"ダークストーカー"
GAME_JOB_GUARDIAN,"ガーディアン"

GAME_JOB_SCOUT,"スカウト"
GAME_JOB_ASSASSIN,"アサシン"
GAME_JOB_COMMAND,"コマンド"
GAME_JOB_ERASER,"イレイザー"

GAME_JOB_ARCHER,"アーチャー"
GAME_JOB_STRIKER,"ストライカー"
GAME_JOB_GUNNER,"ガンナー"
GAME_JOB_HAWKEYE,"ホークアイ"

GAME_JOB_WIZARD,"ウィザード"
GAME_JOB_SORCERER,"ソーサラー"
GAME_JOB_SAGE,"セージ"
GAME_JOB_FORCEMASTER,"フォースマスター"

GAME_JOB_SHAMAN,"シャーマン"
GAME_JOB_ELEMENTER,"エレメンタラー"
GAME_JOB_ENCHANTER,"エンチャンター"
GAME_JOB_ASTRALIST,"アストラリスト"

GAME_JOB_VATES,"ウァテス"
GAME_JOB_DRUID,"ドルイド"
GAME_JOB_BARD,"バード"
GAME_JOB_CARDINAL,"カーディナル"

GAME_JOB_WARLOCK,"ウォーロック"
GAME_JOB_CABALIST,"カバリスト"
GAME_JOB_NECROMANCER,"ネクロマンサー"
GAME_JOB_SOULTAKER,"ソウルテイカー"

GAME_JOB_TATARABE,"タタラベ"
GAME_JOB_BLACKSMITH,"ブラックスミス"
GAME_JOB_MACHINERY,"マシンナリー"
GAME_JOB_MAESTRO,"マエストロ"

GAME_JOB_FARMASIST,"ファーマー"
GAME_JOB_ALCHEMIST,"アルケミスト"
GAME_JOB_MARIONEST,"マリオネスト"
GAME_JOB_HARVEST,"ハーヴェスト"

GAME_JOB_RANGER,"レンジャー"
GAME_JOB_EXPLORER,"エクスプローラー"
GAME_JOB_TREASUREHUNTER,"トレジャーハンター"
GAME_JOB_STRIDER,"ストライダー"

GAME_JOB_MERCHANT,"マーチャント"
GAME_JOB_TRADER,"トレーダー"
GAME_JOB_GAMBLER,"ギャンブラー"
GAME_JOB_ROYALDEALER,"ロイヤルディーラー"


GAME_JOINTJOB_41,"ブリーダー"
GAME_JOINTJOB_42,"ガーデナー"

GAME_TAB_TIP_PART_BODY,"キャラクター本体のアイテム収納枠です"
GAME_TAB_TIP_PART_RIGHT,"キャラクター右手のアイテム収納枠です$rカバン類を装備する必要があります"
GAME_TAB_TIP_PART_LEFT,"キャラクター左手のアイテム収納枠です$rカバン類を装備する必要があります"
GAME_TAB_TIP_PART_BACK,"キャラクター背中のアイテム収納枠です$rリュック類を装備する必要があります"

GAME_RETURN_SAVE_POINT,"セーブポイントに戻りますか？"

GAME_FONT_RESERVE_STR,"?+-*/:;_!%&'()=\[]<>0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ"

GAME_LOADING_BG_NUM,"4"

GAME_DESKTOP_CHARA_LV,":LV %d"

GAME_CHR_ECOIN,"ecoin"

# フレンド
GAME_FRIEND_TITLE,"コミュニティ"
GAME_FRIEND_REQ,"%sさんから$rフレンド登録要請を受けました"
GAME_FRIEND_REQ_TITLE,"フレンド登録要請"
GAME_FRIEND_REQ_PARTY,"%sの%sさんから$rフレンド登録要請を受けました"
GAME_FRIEND_DEL,"%sさんをフレンドリストから削除します"
GAME_FRIEND_BLOCK,"フレンド申請された場合に、自動的に拒否する不許可設定を ON にしますか？$r※自キャラの右クリックメニューの設定で変更できます"

GAME_FRIEND_MENU_0,"ウィスパー"
GAME_FRIEND_MENU_1,"メール"
GAME_FRIEND_MENU_2,"フレンドリストから削除"

GAME_FRIEND_MENU2_0,"ウィスパー"
GAME_FRIEND_MENU2_1,"メール送信先に追加"
GAME_FRIEND_MENU2_2,"フレンドリストから削除"

GAME_FRIEND_INVITE_FRIEND,"フレンドに誘う"
GAME_FRIEND_INVITE_PARTY,"パーティに誘う"
GAME_FRIEND_INVITE_RING,"リングに誘う"

GAME_FRIEND_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_FRIEND_LIST_REGISTER_SET_STR,"%sさんをフレンドに誘いますか？"

GAME_PARTY_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_PARTY_LIST_REGISTER_SET_STR,"%sさんをパーティに誘いますか？"

GAME_RING_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_RING_LIST_REGISTER_SET_STR,"%sさんをリングに誘いますか？"

GAME_FRIEND_STATE_0,"オフライン"
GAME_FRIEND_STATE_1,"オンライン"
GAME_FRIEND_STATE_2,"募集中"
GAME_FRIEND_STATE_3,"取り込み中"
GAME_FRIEND_STATE_4,"お話し中"
GAME_FRIEND_STATE_5,"休憩中"
GAME_FRIEND_STATE_6,"退席中"
GAME_FRIEND_STATE_7,"戦闘中"
GAME_FRIEND_STATE_8,"商売中"
GAME_FRIEND_STATE_9,"憑依中"
GAME_FRIEND_STATE_10,"クエスト中"
GAME_FRIEND_STATE_11,"お祭り中"
GAME_FRIEND_STATE_12,"連絡求む"

GAME_FRIEND_RING_FCSTATE_TAG,"飛空城 入手状況:"
GAME_FRIEND_RING_FCSTATE_0,"未入手"
GAME_FRIEND_RING_FCSTATE_1,"作成可能"
GAME_FRIEND_RING_FCSTATE_3,"入城済み"
GAME_FRIEND_RING_FCSTATE_4,"作成中"

GAME_FRIEND_ROOM_SORT_0,"名前"
GAME_FRIEND_ROOM_SORT_1,"パートナー"
GAME_FRIEND_ROOM_SORT_2,"LV/転生"
GAME_FRIEND_ROOM_SORT_3,"ランク"
GAME_FRIEND_ROOM_SORT_4,"信頼度"
GAME_FRIEND_ROOM_SORT_5,"状況"
GAME_FRIEND_ROOM_ROOMNAME,"■%s"
GAME_FRIEND_ROOM_ROOMINFO,"■%s"
GAME_FRIEND_ROOM_NUM,"■%d/%d"
GAME_FRIEND_ROOM_LV_0,"%d/未"
GAME_FRIEND_ROOM_LV_1,"%d/済"
GAME_FRIEND_ROOM_RANK_0,"H"
GAME_FRIEND_ROOM_RANK_1,"G"
GAME_FRIEND_ROOM_RANK_2,"F"
GAME_FRIEND_ROOM_RANK_3,"E"
GAME_FRIEND_ROOM_RANK_4,"D"
GAME_FRIEND_ROOM_RANK_5,"C"
GAME_FRIEND_ROOM_RANK_6,"B"
GAME_FRIEND_ROOM_RANK_7,"A"
GAME_FRIEND_ROOM_RANK_8,"S"
GAME_FRIEND_ROOM_RANK_9,"SS"
GAME_FRIEND_ROOM_RANK_10,"SSS"
GAME_FRIEND_ROOM_STATE_0,"準備中"
GAME_FRIEND_ROOM_STATE_1,"準備完了"
GAME_FRIEND_ROOM_STATE_2,"ゲーム中"
GAME_FRIEND_ROOM_READY_MSG,"準備状況を更新しますか？"
GAME_FRIEND_ROOM_START_MSG,"パートナープロテクトを$r開始しますか？"
GAME_FRIEND_ROOM_START2_MSG,"パートナープロテクトを$r今すぐ開始しますか？"


# ミニマップ
GAME_MINIMAP_WORLDMAP,"世界マップ"
GAME_MINIMAP_OPENERROR,"ミニマップが表示出来ないマップです"

# ワールドマップ
GAME_WORLDMAP_QUESTINFO_TARGETMAP,"<対象マップ>"
GAME_WORLDMAP_QUESTINFO_TARGETMONSTER,"<対象モンスター>"
GAME_WORLDMAP_QUESTINFO_CLIENT,"<依頼主>"
GAME_WORLDMAP_QUESTINFO_SENDER,"<送り主>"
GAME_WORLDMAP_QUESTINFO_RECEIVER,"<受取人>"
GAME_WORLDMAP_QUESTINFO_SPACE,"  "
GAME_WORLDMAP_QUESTINFO_TARGETNPC,"<対象NPC>"
GAME_WORLDMAP_QUESTINFO_REPORT,"<報告NPC>"

# リング
GAME_RING_ORGANIZE,"リングを結成しました"
GAME_RING_ENTER,"リングに参加しました"
GAME_RING_DISSOLVE,"リングが解散されました"
GAME_RING_LEAVE,"リングを脱退しました"
GAME_RING_KICK,"リングから追放されました"
GAME_RING_CANT_KICK_MASTER,"リングマスター・サブリングマスターを追放する事はできません"
GAME_RING_KICK_Q,"%sさんを追放します。よろしいですか？"
GAME_RING_LEAVE_Q,"リングから脱退します。よろしいですか？"
GAME_RING_SET_POWER,"権限設定"

GAME_RING_MASTER_MENU_0,"権限の設定"
GAME_RING_MASTER_MENU_1,"追放"
GAME_RING_MASTER_MENU_2,"ウィスパー"
GAME_RING_MASTER_MENU_3,"メール"

GAME_RING_MASTER_MENU2_0,"権限の設定"
GAME_RING_MASTER_MENU2_1,"追放"
GAME_RING_MASTER_MENU2_2,"ウィスパー"
GAME_RING_MASTER_MENU2_3,"メール送信先に追加"



GAME_RING_MENU_0,"脱退"

GAME_RING_BALLOON_TEXT_0,"サブリングマスター権限$r リングに一人までです"
GAME_RING_BALLOON_TEXT_1,"加入権限$r 人数制限はありません"
GAME_RING_BALLOON_TEXT_2,"追放権限$r 人数制限はありません"
GAME_RING_BALLOON_TEXT_3,"エクスパンションポイント使用権限$r人数制限はありません"
GAME_RING_BALLOON_TEXT_4,"リング倉庫取り出し権限$r 人数制限はありません"

GAME_RING_ERR_1,"相手が見つかりません"
GAME_RING_ERR_2,"リングサーバーの応答がありません"
GAME_RING_ERR_3,"相手がリング招待不許可設定です"
GAME_RING_ERR_4,"相手はリングに加入済みです"
GAME_RING_ERR_5,"リングを組んでいないので誘えません" 
GAME_RING_ERR_6,"招待権限を持っていません"
GAME_RING_ERR_7,"誘った相手が存在していません"
GAME_RING_ERR_8,"誘った相手に招待権限がありません"
GAME_RING_ERR_9,"既にリングに入っています"
GAME_RING_ERR_10,"満員で入れません"
GAME_RING_ERR_11,"RingErr"
GAME_RING_ERR_12,"招待権限を持っていません"

GAME_RING_INVITED,"%sさんから$rリング「%s」へ$r誘われました。加入しますか？"
GAME_RING_INVITED_TITLE,"リング加入要請"

GAME_RING_INFOWND,"リング情報"
GAME_RING_EMBLEM_NONE,"無し"
GAME_RING_NOT_FOUND_EMBLEM_FILE,"が見つかりませんでした"
GAME_RING_EMBLEM_SZ_OVER,"エンブレムのファイルサイズが制限を超えています"

# リングエンブレム
GAME_RINGEMB_UPLOAD_OK,"エンブレムの登録に成功しました"
GAME_RINGEMB_UPLOAD_ERR_1,"サーバーエラーによりエンブレム登録ができません"
GAME_RINGEMB_UPLOAD_ERR_2,"画像フォーマットが不明なためエンブレム登録ができません"
GAME_RINGEMB_UPLOAD_ERR_3,"リング名声値が足りないためエンブレム登録ができません"
GAME_RINGEMB_UPLOAD_ERR_99,"リングサーバーの応答がありません"

# パーティ
GAME_PARTY_REQ,"%sさんから$rパーティー参加要請を受けました"
GAME_PARTY_REQ_PARTY,"%sの%sさんから$rパーティー参加要請を受けました"
GAME_PARTY_REQ_TITLE,"パーティー要請"
GAME_PARTY_NO_ASSIGN,"パーティーに所属していません"
GAME_PARTY_TOO_LONG_NAME,"パーティー名が長すぎます"
GAME_PARTY_FORCE_LEAVE_MEM,"パーティーメンバーを脱退させます"
GAME_PARTY_LEAVE,"パーティーから脱退します"
GAME_PARTY_BREAKUP,"パーティーを解散します"
GAME_PARTY_INPUT_NAME,"パーティー名を入力してください"

GAME_PARTY_LEADER_MEM_MENU_0,"ウィスパー"
GAME_PARTY_LEADER_MEM_MENU_1,"パーティーを脱退させる"
GAME_PARTY_LEADER_MEM_MENU_2,"追尾"

GAME_PARTY_LEADER_MENU_0,"パーティー名変更"
GAME_PARTY_LEADER_MENU_1,"パーティーを解散する"

GAME_PARTY_MENU_0,"パーティーから抜ける"

GAME_PARTY_MENU_MEMBER_0,"ウィスパー"
GAME_PARTY_MENU_MEMBER_1,"追尾"

GAME_PARTY_MENU_LEADER_0,"ウィスパー"
GAME_PARTY_MENU_LEADER_1,"追尾"

GAME_PARTY_FIRSTGETTERTYPE,"アイテムのランダム取得"

# チャットルーム
GAME_CHATROOM_LEAVE,"チャットルームから退室します"
GAME_CHATROOM_NOT_IN,"チャットルームに入室していません"
GAME_CHATROOM_INPUT_PWD,"パスワードを入力してください"
GAME_CHATROOM_JOINNUM," (%d人参加中)"
GAME_CHATROOM_LEAVE_POSSIBLE,"退出できます"
GAME_CHATROOM_ADMIN_GET,"チャットルームの管理権限が与えられました"

# ブロックリスト
GAME_BLOCK_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_BLOCK_LIST_REGISTER_SET_STR,"%sさんをブロックリストに登録しますか？"
GAME_BLOCK_LIST_REGISTER_DEL_STR,"%sさんをブロックリストから削除しますか？"
GAME_BLOCKLIST_LEADER_MENU_0,"ブロックリストから削除する"
GAME_BLOCKLIST_MAXLIST_ERROR,"これ以上ブロックリストに登録をすることはできません"

# 師弟絡み
GAME_BOND_REQ_TITLE,"師弟要請"
GAME_BOND_REQ_TEXT,"%sさんから$r師弟要請を受けました"


#師弟リスト
GAME_BOND_RELEASE_MENU_0,"師弟関係を解消する"
GAME_BOND_ALLRELEASE_MENU_0,"全ての師弟関係を解消する"
GAME_BOND_LISTDELETE,"師弟関係の解消をしますか？"


# コンティニュー
GAME_CONTINUE_REQ,"アイテム「%s」の効果がなくなりました。$r今すぐアイテム「%s」を購入して使用しますか？"
GAME_CONTINUE_BUY_0,"アイテム「%s」を購入して、今すぐ使用いたします。$rよろしいですか？$r－－－－－－－－－－－－－－－－－－－－－－－－－－－－$r"
GAME_CONTINUE_BUY_1,"今すぐ購入して使用するアイテム : %s$r所持ポイント : %d$r購入ポイント : %d$r残りポイント : %d"
GAME_CONTINUE_NOMONEY,"ShopPointが不足しています。$rShopPointをご購入の上、ECO SHOPよりアイテムをご購入下さい"
GAME_CONTINUE_ERR_MAXITEM,"アイテム所持数に空きがありません"
GAME_CONTINUE_ERR_USEIMPOSSIBLE,"アイテムを購入できる状態ではありません"

#MAILL
GAME_FRIEND_MAILL_POPUP,"メールウィンドウを開く"





# エモーション・アクションウィンドウ
GAME_ACTCMD_ERR,"取得していないモーションなので、使用できません"
GAME_ACTCMD_CHANGE,"待機モーションが変更されました"
GAME_ACTCMD_DEFAULT,"待機モーションを元に戻しました"
GAME_ACTCMD_CHANGE_ERR,"待機モーションの変更には時間を置いてください"

GAME_EMOCMD_ERR,"取得していないエモーションなので、使用できません"
GAME_EMOCMD_LOOP_ERR,"ＥＸエモーションを１つも習得していないので、使用できません"
GAME_EMOCMD_OTP_ERR,"セキュアログインボーナスを設定していないため、専用モーションを使用することができません。$rセキュアログインボーナスを設定すると、色々な特典が付きます。$rセキュアログインボーナスの説明のサイトを開きますか？"

GAME_PARTNERMOTION_CMD,"パートナー連動モーション%d"
GAME_PARTNERMOTION_CMD1,"/combi%d"
GAME_PARTNERMOTION_CMD2,"/パートナー連動モーション%s"

GAME_OTPMOTION0_CMD,"【セキュア特典】ダンス"
GAME_OTPMOTION0_CMD1,"/dance1"
GAME_OTPMOTION0_CMD2,"/セキュア特典モーション"
GAME_OTPMOTION1_CMD,"【セキュア特典】宙返り"
GAME_OTPMOTION1_CMD1,"/backflip"
GAME_OTPMOTION1_CMD2,"/セキュア特典モーション"

# ゴーレム
GAME_GOLEM_MENU_LIST_0,"ショップを開く"
GAME_GOLEM_SALEPRICE_TITLE,"販売するアイテムを移し値段を設定して下さい"
GAME_GOLEM_TRY_ITEM,"展示品"
GAME_GOLEM_TRY_PRICE,"展示品"
GAME_GOLEM_PRICE_WARNING,"値段の上限が 99,999,999 から 999,999,999,999 に変更されました。$r値段の設定にはご注意ください。$rまた、売却アイテムの隣のチェックボックスをチェックしたら展示品用アイテムになります。$r展示品用アイテムは、露店に表示されますが、売れないアイテムになります。"

# ゴーレムカテゴリ
GAME_GOLEM_CATEGORY_0,"武器"
GAME_GOLEM_CATEGORY_1,"防具"
GAME_GOLEM_CATEGORY_2,"装飾品"
GAME_GOLEM_CATEGORY_3,"回復薬"
GAME_GOLEM_CATEGORY_4,"雑貨"
GAME_GOLEM_CATEGORY_5,"材料"
GAME_GOLEM_CATEGORY_6,"食品"
GAME_GOLEM_CATEGORY_7,"人形"
GAME_GOLEM_CATEGORY_8,"箱"
GAME_GOLEM_CATEGORY_9,"家具"
GAME_GOLEM_CATEGORY_10,"その他"

# ゴーレムリストウィンドウ
GAME_GOLEMLIST_TITLE,"ゴーレムカタログ"
GAME_GOLEMLIST_NOT_EXIST_GOLEM,"存在しないゴーレムです"
GAME_GOLEMLIST_SEARCH_STR,"検索"
GAME_GOLEMLIST_SEARCHTYPE_COMMENT_STR,"コメント"
GAME_GOLEMLIST_SEARCHTYPE_ITEM_STR,"アイテム"
# ゴーレムサーチリストウィンドウ
GAME_GOLEMLIST_SEARCHLIST_ERR,"検索したアイテム名は存在しません"
GAME_GOLEMLIST_SEARCHLIST_NOTITEM_ERR,"検索したアイテムはありませんでした"

# ゴーレム倉庫
GAME_GOLEMWARE_TITLE,"ゴーレム倉庫"

# ゴーレムショップ
GAME_GOLEMSHOP_TITLE,"ゴーレムショップ"
GAME_GOLEMSHOP_ITEM,"項目"
GAME_GOLEMSHOP_REG_CATALOG,"カタログ登録"
GAME_GOLEMSHOP_HOW_MUCH_REG_CATALOG,"500ゴールドでゴーレムカタログに登録する事ができます"
GAME_GOLEMSHOP_NOT_FOUND_GOLEM,"ゴーレムを見つけられませんでした。"
GAME_GOLEMSHOP_AM_I_SOLD,"僕を売っちゃうの！？"
GAME_GOLEMSHOP_CANT_SALE_EVENT_ITEM,"イベントアイテムは販売できません"

GAME_GOLEMSHOP_NUM_KIND_SELL,"売却種類数"
GAME_GOLEMSHOP_SELL_TOTAL_PRICE,"売却総金額"
GAME_GOLEMSHOP_MAX_SET_PRICE,"最高設定金額"
GAME_GOLEMSHOP_MIN_SET_PRICE,"最低設定金額"

GAME_GOLEMSHOP_PRICE,"                    %lldＧ"
GAME_GOLEMSHOP_FOR_SALE_PRICE," %lldＧ"
GAME_GOLEMSHOP_PURCHASE_PRICE,"    %lldＧ"
GAME_GOLEMSHOP_MONEY,"     %lldＧ"
GAME_GOLEMSHOP_CONTENT_MONEY_COL9,"     %lldＧ"
GAME_GOLEMSHOP_CONTENT_MONEY_COL8,"      %lldＧ"

GAME_GOLEMSHOP_TOO_BIG_FOR_SALE_PRICE,"金額が大きすぎます"

# ゴーレム買取
GAME_GOLEMHOCK_TITLE,"買取ゴーレム"

GAME_GOLEMHOCK_TRADE_LIMIT_PRICE,"        %lldＧ"
GAME_GOLEMHOCK_WHOUSE_NUM,"%3d/%3d"
GAME_GOLEMHOCK_SELL_LIST_NUM,"%3d"

GAME_GOLEMHOCK_FRAME,"アイテム枠"
GAME_GOLEMHOCK_PURCHASE_TOTAL_PRICE,"買取総金額"
GAME_GOLEMHOCK_MONEY_LABEL,"所持金額"
GAME_GOLEMHOCK_TRADE_LIMIT_PRICE_LABEL,"取引限度額"

GAME_GOLEMHOCK_PURCHASE_GOLD,"買取ゴールド"
